establecimiento_id;establecimiento_nombre_comercial;establecimiento_grupo;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio;direccion_localidad;direccion_codigo_postal;longitud;latitud
B-38-7-0000011;Manila;Bar-Cafeteria;C/ Doctor Quintero;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.915372;27.807218
B-38-7-0000014;Cruz Alta;Bar-Cafeteria;C/ Cruz Alta;El Hierro;Santa Cruz De Tenerife;Frontera;_U;38913;-18.016921;27.752703
B-38-7-0000023;Tasca Avenida;Bar-Cafeteria;Avda. Marítima, 14;El Hierro;Santa Cruz De Tenerife;El Pinar De El Hierro;_U;38917;-17.981453;27.640727
B-38-7-0000025;Los Reyes;Bar-Cafeteria;C/ San Francisco;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.914674;27.806199
B-38-7-0000027;"Disco-Pub ""La Lonja""";Bar-Cafeteria;C/ San Francisco;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.914674;27.806199
B-38-7-0000034;La Paz;Bar-Cafeteria;Travesía Del Pino, 61 Planta Baja - Puerta 2 - Taibique;El Hierro;Santa Cruz De Tenerife;El Pinar De El Hierro;_U;38914;-17.979452;27.705393
B-38-7-0000041;La Gruta;Bar-Cafeteria;C/ Lola González;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.915567;27.807569
B-38-7-0000063;Sabor Criollo;Bar-Cafeteria;C/ Tigaday;El Hierro;Santa Cruz De Tenerife;Frontera;_U;38911;0.0;0.0
B-38-7-0000067;Los Molinos De San Juan;Bar-Cafeteria;Avda. Dacio Darias;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.912818;27.805955
B-38-7-0000068;Principal;Bar-Cafeteria;Juan Gutiérrez Monteverde, 25;El Hierro;Santa Cruz De Tenerife;El Pinar De El Hierro;_U;38917;-17.980711;27.641819
B-38-7-0000079;El Matorral (Auto Bar);Bar-Cafeteria;El Matorral, S/N;El Hierro;Santa Cruz De Tenerife;Frontera;_U;38911;0.0;0.0
B-38-7-0000081;Las Vetas;Bar-Cafeteria;C/ San Francisco;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.914821;27.806112
B-38-7-0000082;Kiosko Los Sargos;Bar-Cafeteria;"Los Sargos, S/N Charco ""Los Sargos""";El Hierro;Santa Cruz De Tenerife;Frontera;_U;38911;-18.011705;27.783512
B-38-7-0000084;El Rincón;Bar-Cafeteria;C/ Juan Gutiérrez Monteverde;El Hierro;Santa Cruz De Tenerife;El Pinar De El Hierro;_U;38917;-17.98074;27.642134
B-38-7-0000086;Bar Mentidero;Bar-Cafeteria;C/ Travesís Del Pino;El Hierro;Santa Cruz De Tenerife;El Pinar De El Hierro;_U;38914;-17.981046;27.703813
B-38-7-0000087;"Tasca ""El Chavelazo""";Bar-Cafeteria;General Rodríguez Y Sánchez Espinosa, 8 Pta. Baja;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.91518;27.807177
B-38-7-0000089;"Zumería ""La Restinga""";Bar-Cafeteria;Juan Gutiérrez Monteverde, 32;El Hierro;Santa Cruz De Tenerife;El Pinar De El Hierro;_U;38917;-17.980813;27.64166
B-38-7-0000090;Bar El Pueblo;Bar-Cafeteria;C/ Ferinto;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38915;-17.94755;27.75026
B-38-7-0000091;La Taguarita;Bar-Cafeteria;San Salvador, S/N;El Hierro;Santa Cruz De Tenerife;Frontera;_U;38911;0.0;0.0
B-38-7-0000093;"Tasca ""El Charquete""";Bar-Cafeteria;La Constitución, 4 Esq. C/ María Mérida;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.915556;27.808904
B-38-7-0000094;Joapira;Bar-Cafeteria;Plaza De La Candelaria, 10;El Hierro;Santa Cruz De Tenerife;Frontera;_U;38911;-18.001329;27.755097
B-38-7-0000095;Mar De Las Calmas;Bar-Cafeteria;Marítima, 18;El Hierro;Santa Cruz De Tenerife;El Pinar De El Hierro;_U;38917;-17.98152;27.640682
B-38-7-0000098;La Balaustrada;Bar-Cafeteria;C/ Doctor Quintero;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.915966;27.808292
B-38-7-0000100;"Distoteca ""Tropicana""";Bar-Cafeteria;C/ La Constitución;El Hierro;Santa Cruz De Tenerife;Valverde;_U;38900;-17.9154;27.810078
