establecimiento_id;establecimiento_nombre_comercial;establecimiento_grupo;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio;direccion_localidad;direccion_codigo_postal;longitud;latitud
B-35-1-0000004;Cafetin, El;Bar-Cafeteria;Venezuela, 014;Gran Canaria;Palmas (Las);San Bartolome De Tirajana;_U;35109;-15.60339;27.771327
B-35-1-0000011;Churreria-Chocolateria Los Angeles-Nazak Kebap & Tandoori Grill House;Bar-Cafeteria;Colmenares, 023;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35003;-15.419294;28.108602
B-35-1-0000021;Punto-Ca'Patricia, El;Bar-Cafeteria;Ruiz Muñiz, 048 Bajo;Gran Canaria;Palmas (Las);Telde;_U;35200;-15.42376;27.992326
B-35-1-0000030;Tadeo;Bar-Cafeteria;C/ Barcelona, Nº 053 Drcha.;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35006;-15.419199;28.111077
B-35-1-0000033;Sobrino, El;Bar-Cafeteria;Esteban Navarro, 3;Gran Canaria;Palmas (Las);Telde;_U;35200;-15.396066;27.995737
B-35-1-0000040;Texas;Bar-Cafeteria;Don Pedro Infinito, 024 Loc. 004- Esq. Jacinta;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35012;-15.430936;28.110579
B-35-1-0000041;Cafeteria Churreria Los Sifones;Bar-Cafeteria;C/ Párraco Déniz, Nº 002;Gran Canaria;Palmas (Las);Arucas;_U;35400;-15.508733;28.128767
B-35-1-0000053;Bristol;Bar-Cafeteria;Naval (La), 213;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35008;-15.421526;28.150562
B-35-1-0000057;Correos;Bar-Cafeteria;Primero De Mayo (Avda.), Nº 064 Esq. Domingo J. Navarro, Nº 054,;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35002;-15.419199;28.111077
B-35-1-0000062;Hermanos Lantigua E Hijos;Bar-Cafeteria;Mercado De Veguera, Loc. 005ec,;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35001;-15.461059;28.09345
B-35-1-0000066;Almatriche;Bar-Cafeteria;Ctra. Almatriche, 131;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35018;-15.419199;28.111077
B-35-1-0000074;Nuevo Iris;Bar-Cafeteria;De La Diputación, 001 Esq. C/ De La Iglesia Chica, Nº 003;Gran Canaria;Palmas (Las);Teror;_U;35330;-15.547996;28.059517
B-35-1-0000080;Marrero;Bar-Cafeteria;Principal, 077;Gran Canaria;Palmas (Las);Vega San Mateo;_U;35320;-15.532965;28.010155
B-35-1-0000082;Por La Mar;Bar-Cafeteria;Virgen De La Paloma, 2;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35013;0;0
B-35-1-0000088;Cebolleros, Los;Bar-Cafeteria;Fernando Guanarteme, 096;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35010;-15.43998;28.133172
B-35-1-0000089;J & Food;Bar-Cafeteria;Don Pedro Infinito, 056;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35012;-15.43242;28.109693
B-35-1-0000099;Diego González Santanta;Bar-Cafeteria;C/ Alceste, Nº 034;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35012;-15.429173;28.110413
B-35-1-0000103;Tino;Bar-Cafeteria;San José (De), 188;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35015;-15.419385;28.09071
B-35-1-0000107;Bar Paco;Bar-Cafeteria;Gonzalez Diaz (Paseo), Nº 002,;Gran Canaria;Palmas (Las);Teror;_U;35330;-15.546329;28.061167
B-35-1-0000110;Estacion, La;Bar-Cafeteria;Parroco Juan Gonzalez, 4;Gran Canaria;Palmas (Las);Teror;_U;35330;-15.546865;28.06122
B-35-1-0000122;Ca-Jonas;Bar-Cafeteria;Murga, Nº 059,;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35003;-15.41558;28.102949
B-35-1-0000124;Buena Vida, La;Bar-Cafeteria;Ripoche, 006;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35007;-15.419199;28.111077
B-35-1-0000133;Diego;Bar-Cafeteria;Real De La Plaza, 013;Gran Canaria;Palmas (Las);Teror;_U;35330;0;0
B-35-1-0000143;Rinconcito Del Mercado, El;Bar-Cafeteria;Valencia, 065 Calle Galicia, 024, Mercado Central, Loc. 006-007 (Plta. Baja);Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35006;-15.419199;28.111077
B-35-1-0000145;Select;Bar-Cafeteria;C/ General Vives, Nº 074, Pta. 004, Parque Santa Catalina, Nº 003;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35007;-15.435561;28.134343
B-35-1-0000154;Vegueta;Bar-Cafeteria;Reloj, Nº 001,;Gran Canaria;Palmas (Las);Las Palmas De Gran Canaria;_U;35001;-15.414816;28.100202
