municipio,nombre,tipo,url_maps
Antigua,ELBA CASTILLO SAN JORGE & ANTIGUA,Hotel,https://www.google.com/maps/search/ELBA%20CASTILLO%20SAN%20JORGE%20%26%20ANTIGUA%20Antigua%20Fuerteventura
Antigua,ELBA LUCIA SPORT & SUITE HOTEL,Hotel,https://www.google.com/maps/search/ELBA%20LUCIA%20SPORT%20%26%20SUITE%20HOTEL%20Antigua%20Fuerteventura
Betancuria,APARTAMENTOS AGUAS VERDES,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20AGUAS%20VERDES%20Betancuria%20Fuerteventura
La Oliva,HOTEL RIU OLIVA BEACH,Hotel,https://www.google.com/maps/search/HOTEL%20RIU%20OLIVA%20BEACH%20La%20Oliva%20Fuerteventura
La Oliva,HOTEL RIU PALACE TRES ISLAS,Hotel,https://www.google.com/maps/search/HOTEL%20RIU%20PALACE%20TRES%20ISLAS%20La%20Oliva%20Fuerteventura
Puerto del Rosario,HOSTAL ROQUEMAR,Hotel,https://www.google.com/maps/search/HOSTAL%20ROQUEMAR%20Puerto%20del%20Rosario%20Fuerteventura
Puerto del Rosario,PENSION MACARIO I,Hotel,https://www.google.com/maps/search/PENSION%20MACARIO%20I%20Puerto%20del%20Rosario%20Fuerteventura
Pájara,HOTEL MELIA FUERTEVENTURA,Hotel,https://www.google.com/maps/search/HOTEL%20MELIA%20FUERTEVENTURA%20P%C3%A1jara%20Fuerteventura
Pájara,HOTEL ROBINSON CLUB JANDIA PLAYA,Hotel,https://www.google.com/maps/search/HOTEL%20ROBINSON%20CLUB%20JANDIA%20PLAYA%20P%C3%A1jara%20Fuerteventura
Tuineje,HOTEL R2 BAHIA PLAYA,Hotel,https://www.google.com/maps/search/HOTEL%20R2%20BAHIA%20PLAYA%20Tuineje%20Fuerteventura
Tuineje,PENSION TAMONANTE,Hotel,https://www.google.com/maps/search/PENSION%20TAMONANTE%20Tuineje%20Fuerteventura
