municipio,playa,url_maps
La Oliva,Playa del Viejo Corralejo,https://www.google.com/maps/search/Playa%20Playa%20del%20Viejo%20Corralejo%20La%20Oliva%20Fuerteventura
La Oliva,Playa de la Concha de Lobos,https://www.google.com/maps/search/Playa%20Playa%20de%20la%20Concha%20de%20Lobos%20La%20Oliva%20Fuerteventura
La Oliva,Playas Grandes,https://www.google.com/maps/search/Playa%20Playas%20Grandes%20La%20Oliva%20Fuerteventura
La Oliva,Playa Alzada,https://www.google.com/maps/search/Playa%20Playa%20Alzada%20La%20Oliva%20Fuerteventura
La Oliva,Playa de la Concha de El Cotillo,https://www.google.com/maps/search/Playa%20Playa%20de%20la%20Concha%20de%20El%20Cotillo%20La%20Oliva%20Fuerteventura
Puerto del Rosario,Playa Blanca,https://www.google.com/maps/search/Playa%20Playa%20Blanca%20Puerto%20del%20Rosario%20Fuerteventura
Puerto del Rosario,Playa Chica,https://www.google.com/maps/search/Playa%20Playa%20Chica%20Puerto%20del%20Rosario%20Fuerteventura
Puerto del Rosario,Las Caletillas,https://www.google.com/maps/search/Playa%20Las%20Caletillas%20Puerto%20del%20Rosario%20Fuerteventura
Puerto del Rosario,Playa de Los Pozos,https://www.google.com/maps/search/Playa%20Playa%20de%20Los%20Pozos%20Puerto%20del%20Rosario%20Fuerteventura
Puerto del Rosario,Playa de Las Lajas,https://www.google.com/maps/search/Playa%20Playa%20de%20Las%20Lajas%20Puerto%20del%20Rosario%20Fuerteventura
Antigua,Playa del Castillo,https://www.google.com/maps/search/Playa%20Playa%20del%20Castillo%20Antigua%20Fuerteventura
Betancuria,Puerito de los Molinos,https://www.google.com/maps/search/Playa%20Puerito%20de%20los%20Molinos%20Betancuria%20Fuerteventura
Tuineje,Playa de Las Playitas,https://www.google.com/maps/search/Playa%20Playa%20de%20Las%20Playitas%20Tuineje%20Fuerteventura
Tuineje,Playa de Gran Tarajal,https://www.google.com/maps/search/Playa%20Playa%20de%20Gran%20Tarajal%20Tuineje%20Fuerteventura
Pájara,Playa de Sotavento de Jandía,https://www.google.com/maps/search/Playa%20Playa%20de%20Sotavento%20de%20Jand%C3%ADa%20P%C3%A1jara%20Fuerteventura
Pájara,Playa Tierra Dorada,https://www.google.com/maps/search/Playa%20Playa%20Tierra%20Dorada%20P%C3%A1jara%20Fuerteventura
Pájara,Playa del Matorral,https://www.google.com/maps/search/Playa%20Playa%20del%20Matorral%20P%C3%A1jara%20Fuerteventura
Pájara,Playa de Cofete,https://www.google.com/maps/search/Playa%20Playa%20de%20Cofete%20P%C3%A1jara%20Fuerteventura
Pájara,Playa del Viejo Reyes,https://www.google.com/maps/search/Playa%20Playa%20del%20Viejo%20Reyes%20P%C3%A1jara%20Fuerteventura
Pájara,Playa de Costa Calma,https://www.google.com/maps/search/Playa%20Playa%20de%20Costa%20Calma%20P%C3%A1jara%20Fuerteventura
