municipio,nombre,grupo,url_maps
Antigua,Antonio,Bar-Cafeteria,https://www.google.com/maps/search/Antonio%20Antigua%20Fuerteventura
Antigua,Tio Popi,Bar-Cafeteria,https://www.google.com/maps/search/Tio%20Popi%20Antigua%20Fuerteventura
Betancuria,Perera,Bar-Cafeteria,https://www.google.com/maps/search/Perera%20Betancuria%20Fuerteventura
Betancuria,Rio Palmas,Bar-Cafeteria,https://www.google.com/maps/search/Rio%20Palmas%20Betancuria%20Fuerteventura
La Oliva,Carretera,Bar-Cafeteria,https://www.google.com/maps/search/Carretera%20La%20Oliva%20Fuerteventura
La Oliva,Los Piratas-Casa Martín,Bar-Cafeteria,https://www.google.com/maps/search/Los%20Piratas-Casa%20Mart%C3%ADn%20La%20Oliva%20Fuerteventura
Puerto Del Rosario,Molino De Viento,Bar-Cafeteria,https://www.google.com/maps/search/Molino%20De%20Viento%20Puerto%20Del%20Rosario%20Fuerteventura
Puerto Del Rosario,Saavedra,Bar-Cafeteria,https://www.google.com/maps/search/Saavedra%20Puerto%20Del%20Rosario%20Fuerteventura
Pájara,Club Marabu,Bar-Cafeteria,https://www.google.com/maps/search/Club%20Marabu%20P%C3%A1jara%20Fuerteventura
Pájara,Tio Pepe,Bar-Cafeteria,https://www.google.com/maps/search/Tio%20Pepe%20P%C3%A1jara%20Fuerteventura
Tuineje,Olas Del Sur,Bar-Cafeteria,https://www.google.com/maps/search/Olas%20Del%20Sur%20Tuineje%20Fuerteventura
Tuineje,Peña,Bar-Cafeteria,https://www.google.com/maps/search/Pe%C3%B1a%20Tuineje%20Fuerteventura
