fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y,num_habitaciones,num_plazas
1.0,ELBA LUCIA SPORT & SUITE HOTEL,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES704,Fuerteventura,ES704B1,Caleta de Fuste,ES704B10,Caleta de Fuste,35003.0,Antigua,URBANIZACIÓN COSTA ANTIGUA S/N,169,338,-13.855458,28.414082,etn1sswu02,612105.26,3143606.59,,
112.0,ELBA CASTILLO SAN JORGE & ANTIGUA,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES704,Fuerteventura,ES704B1,Caleta de Fuste,ES704B10,Caleta de Fuste,35003.0,Antigua,"CALLE FRANCHY ROCA, S/N - URBANIZACIÓN EL CASTILLO",272,750,-13.853304,28.399358,etn1scbq68,612331.79,3141977.27,,
223.0,HOTEL EUROSTAR LAS SALINAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES704,Fuerteventura,ES704B1,Caleta de Fuste,ES704B10,Caleta de Fuste,35003.0,Antigua,PASEO MARITIMO S/N,223,680,-13.86112,28.393902,etn1s8fwkq,611571.78,3141365.51,,
320.0,HOTEL SHERATON FUERTEVENTURA GOLF AND SPA RESORT,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES704,Fuerteventura,ES704B1,Caleta de Fuste,ES704B10,Caleta de Fuste,35003.0,Antigua,"CARRETERA FUERTEVENTURA 2, KM 11 - URBANIZACIÓN. FUERTEVENTURA GOLF RESORT",266,634,-13.863323,28.389894,etn1s81p15,611360.13,3140919.41,,
331.0,HOTEL ELBA CARLOTA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES704,Fuerteventura,ES704B1,Caleta de Fuste,ES704B10,Caleta de Fuste,35003.0,Antigua,AVENIDA DE LAS MARISMAS 3,346,692,-13.864279,28.388106,etn1kxbkdy,611268.34,3140720.43,,
342.0,CAYBEACH VILLAS CALETA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES704,Fuerteventura,ES704B1,Caleta de Fuste,ES704B10,Caleta de Fuste,35003.0,Antigua,CALLE TABAIBA S/N,122,386,-13.862532,28.396347,etn1s93sew,611430.88,3141635.1,,
343.0,HOTEL RIU OLIVA BEACH,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES704,Fuerteventura,ES704B2,Corralejo - El Cotillo,ES704B21,Corralejo,35014.0,La Oliva,"CALLE GRANDES PLAYAS DE CORRALEJO, S/N",814,2442,-13.842419,28.708402,etn5m40q86,613067.46,3176228.46,,
344.0,HOTEL RIU PALACE TRES ISLAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES704,Fuerteventura,ES704B2,Corralejo - El Cotillo,ES704B21,Corralejo,35014.0,La Oliva,PLAYA DE CORRALEJO,372,698,-13.838782,28.712016,etn5m4fgt5,613418.84,3176632.34,,
345.0,HOTEL AVANTI,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES704,Fuerteventura,ES704B2,Corralejo - El Cotillo,ES704B21,Corralejo,35014.0,La Oliva,"CALLE DELFIN, 1",15,30,-13.867581,28.738181,etn5krtujc,610578.23,3179504.33,,
346.0,APARTAMENTOS BRISTOL PLAYA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES704,Fuerteventura,ES704B2,Corralejo - El Cotillo,ES704B21,Corralejo,35014.0,La Oliva,"CALLE LAGO BRISTOL, 1",186,398,-13.869542,28.743627,etn5s2seb0,610381.0,3180105.92,,
347.0,H10 OCEAN DUNAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES704,Fuerteventura,ES704B2,Corralejo - El Cotillo,ES704B21,Corralejo,35014.0,La Oliva,"CALLE LA RED, S/N",79,152,-13.869103,28.734001,etn5kqugdq,610433.99,3179039.78,,
348.0,HOTEL BOUTIQUE TAO CALETA MAR,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES704,Fuerteventura,ES704B2,Corralejo - El Cotillo,ES704B21,Corralejo,35014.0,La Oliva,"AVENIDA GRANDES PLAYAS, 125",55,220,-13.849865,28.72611,etn5kv6vdz,612321.19,3178183.44,,
