establecimiento_id;establecimiento_nombre_comercial;establecimiento_grupo;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio;direccion_localidad;direccion_codigo_postal;longitud;latitud
B-35-2-0000005;Saavedra;Bar-Cafeteria;Barrio Del Charco, S/N;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.872784;28.50872
B-35-2-0000006;Saavedra;Bar-Cafeteria;C/ Garcia Escamez, S/N;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.872784;28.50872
B-35-2-0000007;Carretera;Bar-Cafeteria;Avda. General Franco, 8;Fuerteventura;Palmas (Las);La Oliva;_U;35660;-13.868362;28.7381
B-35-2-0000008;Los Piratas-Casa Martín;Bar-Cafeteria;Coronel González Del Hierro, 14;Fuerteventura;Palmas (Las);La Oliva;_U;35650;-13.93385;28.67911
B-35-2-0000009;Casa El Gordo;Bar-Cafeteria;Calle El Majorero, 3;Fuerteventura;Palmas (Las);La Oliva;_U;35640;-13.926386;28.612471
B-35-2-0000010;Molino De Viento;Bar-Cafeteria;Lg. Tefia,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35611;-13.9283;28.52934
B-35-2-0000011;Leon;Bar-Cafeteria;Plaza Domingo J. Navarro,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.934108;28.531367
B-35-2-0000012;Muelle Viejo Lounge Bar;Bar-Cafeteria;Calle Teófilo Martínez Escobar, 2, Esquina Calle León Y Castillo, 1;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.858637;28.498522
B-35-2-0000013;Henequen;Bar-Cafeteria;Almirante Lallemand, 22;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.853177;28.500199
B-35-2-0000014;Fidel;Bar-Cafeteria;Lg. Aldea Ampuyenta, 49, Polígono 15, Parcela 154;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35637;-13.99507;28.46305
B-35-2-0000015;Club Marabu;Bar-Cafeteria;Esquinzo, S/N;Fuerteventura;Palmas (Las);Pájara;_U;35625;-14.300438;28.077526
B-35-2-0000018;Peña;Bar-Cafeteria;Matías López, 16;Fuerteventura;Palmas (Las);Tuineje;_U;35620;-14.022413;28.210857
B-35-2-0000019;Las Gavias;Bar-Cafeteria;Avda. Maritima, 3;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.85784;28.498974
B-35-2-0000021;Los Angeles;Bar-Cafeteria;Ctra. Gral. A El Matorral, Km. 9,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35610;0.0;0.0
B-35-2-0000023;Saavedra;Bar-Cafeteria;Barrio Del Charco,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.872784;28.50872
B-35-2-0000024;Olas Del Sur;Bar-Cafeteria;Calle El Carmen, 5;Fuerteventura;Palmas (Las);Tuineje;_U;35629;-14.072411;28.201926
B-35-2-0000025;Hernandez Cabrera;Bar-Cafeteria;C/ General Moscardo, 53;Fuerteventura;Palmas (Las);Tuineje;_U;35620;0.0;0.0
B-35-2-0000026;Hernandez Cubas;Bar-Cafeteria;C/ Calvo Sotelo,;Fuerteventura;Palmas (Las);Tuineje;_U;35620;0.0;0.0
B-35-2-0000027;Perla Del Sur;Bar-Cafeteria;_U;Fuerteventura;Palmas (Las);Tuineje;_U;35627;0.0;0.0
B-35-2-0000028;Las Bolas;Bar-Cafeteria;Almirante Lallemand, 43;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.851627;28.500954
B-35-2-0000029;Los Paraguitas;Bar-Cafeteria;Plaza Del Mercado,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;0.0;0.0
B-35-2-0000032;Tio Popi;Bar-Cafeteria;C/ General Franco, 12;Fuerteventura;Palmas (Las);Antigua;_U;35630;-14.013812;28.422019
B-35-2-0000036;Tio Pepe;Bar-Cafeteria;C/ La Cañada, 6;Fuerteventura;Palmas (Las);Pájara;_U;35628;-14.10819;28.349575
B-35-2-0000037;Tío Pepe Bar;Bar-Cafeteria;Carretera General De Tiscamanita (Fv-20), Nº 14;Fuerteventura;Palmas (Las);Tuineje;_U;35638;-14.035666;28.35138
B-35-2-0000038;La Nasa;Bar-Cafeteria;Barrio Del Charco,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;0.0;0.0
B-35-2-0000039;Hernandez;Bar-Cafeteria;Ctra. Gral. A Tiscamanita,;Fuerteventura;Palmas (Las);Tuineje;_U;35638;-14.03646;28.35137
B-35-2-0000040;Los Marineros;Bar-Cafeteria;C/ Matias Lopez, 28;Fuerteventura;Palmas (Las);Tuineje;_U;35620;-14.022916;28.21037
B-35-2-0000041;Rancherito;Bar-Cafeteria;León Y Castillo, 14;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.858912;28.498901
B-35-2-0000042;Soto;Bar-Cafeteria;Lg. Tiscamanita,;Fuerteventura;Palmas (Las);Tuineje;_U;35638;-14.02903;28.34679
B-35-2-0000044;Las Olas;Bar-Cafeteria;_U;Fuerteventura;Palmas (Las);La Oliva;_U;35660;0.0;0.0
B-35-2-0000045;Antonio;Bar-Cafeteria;Lg. Valles De Ortega,;Fuerteventura;Palmas (Las);Antigua;_U;35638;-14.012616;28.388545
B-35-2-0000047;Las Tapas;Bar-Cafeteria;Ruperto González Negrín,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.85551;28.49924
B-35-2-0000049;Marquesina;Bar-Cafeteria;_U;Fuerteventura;Palmas (Las);La Oliva;_U;35660;0.0;0.0
B-35-2-0000050;Plaza Amanay;Bar-Cafeteria;Calle La Cañada, 2, Esquina Calle Terrero, 7;Fuerteventura;Palmas (Las);Pájara;_U;35628;-14.108155;28.349808
B-35-2-0000051;El Castillo;Bar-Cafeteria;Lg. Caleta De Fuste, S/N;Fuerteventura;Palmas (Las);Antigua;_U;35610;0.0;0.0
B-35-2-0000052;Plaza San Miguel;Bar-Cafeteria;Lg. Tuineje,;Fuerteventura;Palmas (Las);Tuineje;_U;35628;-14.04937;28.32474
B-35-2-0000054;Valeron;Bar-Cafeteria;C/ Republica Argentina,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.856975;28.500285
B-35-2-0000056;Perico;Bar-Cafeteria;C/ Matias Lopez,;Fuerteventura;Palmas (Las);Tuineje;_U;35620;-14.02222;28.211066
B-35-2-0000057;Sarabia;Bar-Cafeteria;C/ Primero De Mayo, 16;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35600;-13.861249;28.496026
B-35-2-0000060;La Calabaza;Bar-Cafeteria;Lg. La Calabaza, S/N;Fuerteventura;Palmas (Las);Tuineje;_U;35628;-14.1392;28.26358
B-35-2-0000061;Sanchez;Bar-Cafeteria;C/ Hierro, 3;Fuerteventura;Palmas (Las);Tuineje;_U;35620;-14.020965;28.212683
B-35-2-0000062;La Cuesta;Bar-Cafeteria;C/ El Centro, 84;Fuerteventura;Palmas (Las);La Oliva;_U;35640;-13.90253;28.633655
B-35-2-0000063;Santa Ana;Bar-Cafeteria;Lg. Casillas Del Angel,;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35611;-13.945939;28.493134
B-35-2-0000067;Escafandra;Bar-Cafeteria;Lg. Villaverde,;Fuerteventura;Palmas (Las);La Oliva;_U;35640;-13.90761;28.63742
B-35-2-0000071;Plaza De Tetir;Bar-Cafeteria;Lg. Tetir;Fuerteventura;Palmas (Las);Puerto Del Rosario;_U;35613;-13.921486;28.517191
B-35-2-0000072;Datsimal;Bar-Cafeteria;Villaverde,;Fuerteventura;Palmas (Las);La Oliva;_U;35640;-13.90761;28.63742
B-35-2-0000073;Maria Fabiola;Bar-Cafeteria;Lg. Morro Jable, S/N;Fuerteventura;Palmas (Las);Pájara;_U;35625;0.0;0.0
B-35-2-0000074;Martin;Bar-Cafeteria;Lg. Lajares, S/N;Fuerteventura;Palmas (Las);La Oliva;_U;35650;-13.941707;28.678579
B-35-2-0000075;Los Farolitos;Bar-Cafeteria;Lg. Tiscamanita,;Fuerteventura;Palmas (Las);Tuineje;_U;35638;-14.02903;28.34679
