municipio,nombre,tipo,url_maps
Agaete,HOTEL OCCIDENTAL ROCA NEGRA,Hotel,https://www.google.com/maps/search/HOTEL%20OCCIDENTAL%20ROCA%20NEGRA%20Agaete%20Gran%20Canaria
Agaete,HOTEL PUERTO DE LAS NIEVES,Hotel,https://www.google.com/maps/search/HOTEL%20PUERTO%20DE%20LAS%20NIEVES%20Agaete%20Gran%20Canaria
Agüimes,HOTEL PLAYA DE ARINAGA,Hotel,https://www.google.com/maps/search/HOTEL%20PLAYA%20DE%20ARINAGA%20Ag%C3%BCimes%20Gran%20Canaria
Artenara,Los Mojones Artenara,Vivienda vacacional,https://www.google.com/maps/search/Los%20Mojones%20Artenara%20Artenara%20Gran%20Canaria
Arucas,Hotel Rural La Hacienda del Buen Suceso,Hotel Rural,https://www.google.com/maps/search/Hotel%20Rural%20La%20Hacienda%20del%20Buen%20Suceso%20Arucas%20Gran%20Canaria
Firgas,Acoran Family Guest House,Casa de huéspedes,https://www.google.com/maps/search/Acoran%20Family%20Guest%20House%20Firgas%20Gran%20Canaria
Galdar,HOTEL HACIENDA DE ANZO - STIKO SANALI,Hotel,https://www.google.com/maps/search/HOTEL%20HACIENDA%20DE%20ANZO%20-%20STIKO%20SANALI%20Galdar%20Gran%20Canaria
Ingenio,Villa Néstor,Bed & Breakfast,https://www.google.com/maps/search/Villa%20N%C3%A9stor%20Ingenio%20Gran%20Canaria
La Aldea de San Nicolás,HOTEL LA  ALDEA SUITES,Hotel,https://www.google.com/maps/search/HOTEL%20LA%20%20ALDEA%20SUITES%20La%20Aldea%20de%20San%20Nicol%C3%A1s%20Gran%20Canaria
La Aldea de San Nicolás,HOTEL LOS CASCAJOS,Hotel,https://www.google.com/maps/search/HOTEL%20LOS%20CASCAJOS%20La%20Aldea%20de%20San%20Nicol%C3%A1s%20Gran%20Canaria
Las Palmas de Gran Canaria,HOTEL AC IBERIA LAS PALMAS,Hotel,https://www.google.com/maps/search/HOTEL%20AC%20IBERIA%20LAS%20PALMAS%20Las%20Palmas%20de%20Gran%20Canaria%20Gran%20Canaria
Las Palmas de Gran Canaria,HOTEL ASTORIA,Hotel,https://www.google.com/maps/search/HOTEL%20ASTORIA%20Las%20Palmas%20de%20Gran%20Canaria%20Gran%20Canaria
Mogán,APARTAMENTOS NIDO DEL AGUILA,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20NIDO%20DEL%20AGUILA%20Mog%C3%A1n%20Gran%20Canaria
Mogán,APARTAMENTOS TIHUYA,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20TIHUYA%20Mog%C3%A1n%20Gran%20Canaria
Moya,Dreamsea Boutique Experience,Hotel Boutique,https://www.google.com/maps/search/Dreamsea%20Boutique%20Experience%20Moya%20Gran%20Canaria
San Bartolomé de Tirajana,HOTEL COSTA CANARIA & SPA.,Hotel,https://www.google.com/maps/search/HOTEL%20COSTA%20CANARIA%20%26%20SPA.%20San%20Bartolom%C3%A9%20de%20Tirajana%20Gran%20Canaria
San Bartolomé de Tirajana,HOTEL NEW FOLIAS,Hotel,https://www.google.com/maps/search/HOTEL%20NEW%20FOLIAS%20San%20Bartolom%C3%A9%20de%20Tirajana%20Gran%20Canaria
Santa Brígida,HOTEL ESCUELA SANTA BRIGIDA,Hotel,https://www.google.com/maps/search/HOTEL%20ESCUELA%20SANTA%20BRIGIDA%20Santa%20Br%C3%ADgida%20Gran%20Canaria
Santa Lucía de Tirajana,ELBA VECINDARIO AEROPUERTO,Hotel,https://www.google.com/maps/search/ELBA%20VECINDARIO%20AEROPUERTO%20Santa%20Luc%C3%ADa%20de%20Tirajana%20Gran%20Canaria
Santa Lucía de Tirajana,HOTEL AVENIDA DE CANARIAS,Hotel,https://www.google.com/maps/search/HOTEL%20AVENIDA%20DE%20CANARIAS%20Santa%20Luc%C3%ADa%20de%20Tirajana%20Gran%20Canaria
Santa María de Guía,Casa Verde de Guía,Casa Rural,https://www.google.com/maps/search/Casa%20Verde%20de%20Gu%C3%ADa%20Santa%20Mar%C3%ADa%20de%20Gu%C3%ADa%20Gran%20Canaria
Tejeda,PARADOR CRUZ DE TEJEDA,Hotel,https://www.google.com/maps/search/PARADOR%20CRUZ%20DE%20TEJEDA%20Tejeda%20Gran%20Canaria
Telde,HOSTAL ALBACAR,Hotel,https://www.google.com/maps/search/HOSTAL%20ALBACAR%20Telde%20Gran%20Canaria
Teror,Hotel El Pino,Hotel,https://www.google.com/maps/search/Hotel%20El%20Pino%20Teror%20Gran%20Canaria
Valleseco,La Casita de Abuela Paula,Casa Rural,https://www.google.com/maps/search/La%20Casita%20de%20Abuela%20Paula%20Valleseco%20Gran%20Canaria
Valsequillo,La Vedette Villa Margarita,Villa vacacional,https://www.google.com/maps/search/La%20Vedette%20Villa%20Margarita%20Valsequillo%20Gran%20Canaria
Vega de San Mateo,Casa Rural El Pajar de Miguel Velázquez,Casa Rural,https://www.google.com/maps/search/Casa%20Rural%20El%20Pajar%20de%20Miguel%20Vel%C3%A1zquez%20Vega%20de%20San%20Mateo%20Gran%20Canaria
Vega de San Mateo,Hotel Rural Las Calas,Hotel Rural,https://www.google.com/maps/search/Hotel%20Rural%20Las%20Calas%20Vega%20de%20San%20Mateo%20Gran%20Canaria
