municipio,playa,url_maps
Agaete,Las Nieves,https://www.google.com/maps/search/Playa+Las+Nieves+Agaete+Gran+Canaria
Agaete,Guayedra,https://www.google.com/maps/search/Playa+Guayedra+Agaete+Gran+Canaria
Gáldar,Sardina,https://www.google.com/maps/search/Playa+Sardina+Gáldar+Gran+Canaria
Gáldar,Playa del Agujero,https://www.google.com/maps/search/Playa+del+Agujero+Gáldar+Gran+Canaria
Santa María de Guía,San Felipe,https://www.google.com/maps/search/Playa+San+Felipe+Santa+María+de+Guía+Gran+Canaria
Arucas,El Puertillo,https://www.google.com/maps/search/El+Puertillo+Arucas+Gran+Canaria
Moya,Charco de San Lorenzo,https://www.google.com/maps/search/Charco+de+San+Lorenzo+Moya+Gran+Canaria
Las Palmas de Gran Canaria,Las Canteras,https://www.google.com/maps/search/Playa+de+Las+Canteras+Las+Palmas+de+Gran+Canaria
Las Palmas de Gran Canaria,Las Alcaravaneras,https://www.google.com/maps/search/Playa+de+Las+Alcaravaneras+Las+Palmas+de+Gran+Canaria
Telde,La Garita,https://www.google.com/maps/search/Playa+de+La+Garita+Telde+Gran+Canaria
Telde,Melenara,https://www.google.com/maps/search/Playa+de+Melenara+Telde+Gran+Canaria
Telde,El Burrero,https://www.google.com/maps/search/Playa+del+Burrero+Telde+Gran+Canaria
Ingenio,Pozo Izquierdo (El Arenal),https://www.google.com/maps/search/Pozo+Izquierdo+Ingenio+Gran+Canaria
Agüimes,Playa de Arinaga,https://www.google.com/maps/search/Playa+de+Arinaga+Agüimes+Gran+Canaria
Santa Lucía de Tirajana,El Arenal,https://www.google.com/maps/search/El+Arenal+Santa+Lucía+de+Tirajana+Gran+Canaria
San Bartolomé de Tirajana,San Agustín,https://www.google.com/maps/search/Playa+de+San+Agustín+San+Bartolomé+de+Tirajana+Gran+Canaria
San Bartolomé de Tirajana,Playa del Inglés,https://www.google.com/maps/search/Playa+del+Inglés+San+Bartolomé+de+Tirajana+Gran+Canaria
San Bartolomé de Tirajana,Maspalomas,https://www.google.com/maps/search/Playa+de+Maspalomas+San+Bartolomé+de+Tirajana+Gran+Canaria
Mogán,Amadores,https://www.google.com/maps/search/Playa+de+Amadores+Mogán+Gran+Canaria
Mogán,Taurito,https://www.google.com/maps/search/Playa+de+Taurito+Mogán+Gran+Canaria
Mogán,Puerto Rico,https://www.google.com/maps/search/Playa+Puerto+Rico+Mogán+Gran+Canaria
Mogán,Tasarte,https://www.google.com/maps/search/Playa+de+Tasarte+Mogán+Gran+Canaria
La Aldea de San Nicolás,Playa de La Aldea,https://www.google.com/maps/search/Playa+de+La+Aldea+La+Aldea+de+San+Nicolás+Gran+Canaria
