municipio,nombre,grupo,url_maps
Agaete,Casa Lolo,Bar-Cafeteria,https://www.google.com/maps/search/Casa%20Lolo%20Agaete%20Gran%20Canaria
Agaete,Ragú,Bar-Cafeteria,https://www.google.com/maps/search/Rag%C3%BA%20Agaete%20Gran%20Canaria
Aguimes,Del Pino,Bar-Cafeteria,https://www.google.com/maps/search/Del%20Pino%20Aguimes%20Gran%20Canaria
Aguimes,Peña,Bar-Cafeteria,https://www.google.com/maps/search/Pe%C3%B1a%20Aguimes%20Gran%20Canaria
Artenara,"Cuevita, La",Bar-Cafeteria,https://www.google.com/maps/search/Cuevita%2C%20La%20Artenara%20Gran%20Canaria
Artenara,Diaz,Bar-Cafeteria,https://www.google.com/maps/search/Diaz%20Artenara%20Gran%20Canaria
Arucas,Benjamin,Bar-Cafeteria,https://www.google.com/maps/search/Benjamin%20Arucas%20Gran%20Canaria
Arucas,Cafeteria Churreria Los Sifones,Bar-Cafeteria,https://www.google.com/maps/search/Cafeteria%20Churreria%20Los%20Sifones%20Arucas%20Gran%20Canaria
Firgas,Santana,Bar-Cafeteria,https://www.google.com/maps/search/Santana%20Firgas%20Gran%20Canaria
Firgas,Taberna Aleman,Bar-Cafeteria,https://www.google.com/maps/search/Taberna%20Aleman%20Firgas%20Gran%20Canaria
Galdar,El Puente,Bar-Cafeteria,https://www.google.com/maps/search/El%20Puente%20Galdar%20Gran%20Canaria
Galdar,Sushimi Galdar,Bar-Cafeteria,https://www.google.com/maps/search/Sushimi%20Galdar%20Galdar%20Gran%20Canaria
Ingenio,"Gran Sol, El",Bar-Cafeteria,https://www.google.com/maps/search/Gran%20Sol%2C%20El%20Ingenio%20Gran%20Canaria
Ingenio,Yo-Ya,Bar-Cafeteria,https://www.google.com/maps/search/Yo-Ya%20Ingenio%20Gran%20Canaria
La Aldea De San Nicolas,Felix,Bar-Cafeteria,https://www.google.com/maps/search/Felix%20La%20Aldea%20De%20San%20Nicolas%20Gran%20Canaria
La Aldea De San Nicolas,Oliva,Bar-Cafeteria,https://www.google.com/maps/search/Oliva%20La%20Aldea%20De%20San%20Nicolas%20Gran%20Canaria
Las Palmas De Gran Canaria,Churreria-Chocolateria Los Angeles-Nazak Kebap & Tandoori Grill House,Bar-Cafeteria,https://www.google.com/maps/search/Churreria-Chocolateria%20Los%20Angeles-Nazak%20Kebap%20%26%20Tandoori%20Grill%20House%20Las%20Palmas%20De%20Gran%20Canaria%20Gran%20Canaria
Las Palmas De Gran Canaria,Tadeo,Bar-Cafeteria,https://www.google.com/maps/search/Tadeo%20Las%20Palmas%20De%20Gran%20Canaria%20Gran%20Canaria
Mogan,Cobana,Bar-Cafeteria,https://www.google.com/maps/search/Cobana%20Mogan%20Gran%20Canaria
Mogan,Stop,Bar-Cafeteria,https://www.google.com/maps/search/Stop%20Mogan%20Gran%20Canaria
Moya,Pizzeria Ca'Masita,Bar-Cafeteria,https://www.google.com/maps/search/Pizzeria%20Ca%27Masita%20Moya%20Gran%20Canaria
Moya,"Tilos, Los",Bar-Cafeteria,https://www.google.com/maps/search/Tilos%2C%20Los%20Moya%20Gran%20Canaria
San Bartolome De Tirajana,"Cafetin, El",Bar-Cafeteria,https://www.google.com/maps/search/Cafetin%2C%20El%20San%20Bartolome%20De%20Tirajana%20Gran%20Canaria
San Bartolome De Tirajana,"Garage, El",Bar-Cafeteria,https://www.google.com/maps/search/Garage%2C%20El%20San%20Bartolome%20De%20Tirajana%20Gran%20Canaria
Santa Brigida,Pluma,Bar-Cafeteria,https://www.google.com/maps/search/Pluma%20Santa%20Brigida%20Gran%20Canaria
Santa Brigida,"Ramal, El",Bar-Cafeteria,https://www.google.com/maps/search/Ramal%2C%20El%20Santa%20Brigida%20Gran%20Canaria
Santa Lucia De Tirajana,"Sarten, La",Bar-Cafeteria,https://www.google.com/maps/search/Sarten%2C%20La%20Santa%20Lucia%20De%20Tirajana%20Gran%20Canaria
Santa Lucia De Tirajana,Verde,Bar-Cafeteria,https://www.google.com/maps/search/Verde%20Santa%20Lucia%20De%20Tirajana%20Gran%20Canaria
Santa Maria De Guia De Gran Canaria,"7, El",Bar-Cafeteria,https://www.google.com/maps/search/7%2C%20El%20Santa%20Maria%20De%20Guia%20De%20Gran%20Canaria%20Gran%20Canaria
Santa Maria De Guia De Gran Canaria,La Tasquita De Mateo,Bar-Cafeteria,https://www.google.com/maps/search/La%20Tasquita%20De%20Mateo%20Santa%20Maria%20De%20Guia%20De%20Gran%20Canaria%20Gran%20Canaria
Tejeda,El Cairete,Bar-Cafeteria,https://www.google.com/maps/search/El%20Cairete%20Tejeda%20Gran%20Canaria
Tejeda,Sombra Del Nublo,Bar-Cafeteria,https://www.google.com/maps/search/Sombra%20Del%20Nublo%20Tejeda%20Gran%20Canaria
Telde,"Punto-Ca'Patricia, El",Bar-Cafeteria,https://www.google.com/maps/search/Punto-Ca%27Patricia%2C%20El%20Telde%20Gran%20Canaria
Telde,"Sobrino, El",Bar-Cafeteria,https://www.google.com/maps/search/Sobrino%2C%20El%20Telde%20Gran%20Canaria
Teror,Bar Paco,Bar-Cafeteria,https://www.google.com/maps/search/Bar%20Paco%20Teror%20Gran%20Canaria
Teror,Nuevo Iris,Bar-Cafeteria,https://www.google.com/maps/search/Nuevo%20Iris%20Teror%20Gran%20Canaria
Valleseco,La Herradura,Bar-Cafeteria,https://www.google.com/maps/search/La%20Herradura%20Valleseco%20Gran%20Canaria
Valleseco,Mi Cielo,Bar-Cafeteria,https://www.google.com/maps/search/Mi%20Cielo%20Valleseco%20Gran%20Canaria
Valsequillo De Gran Canaria,"Cañas, Las",Bar-Cafeteria,https://www.google.com/maps/search/Ca%C3%B1as%2C%20Las%20Valsequillo%20De%20Gran%20Canaria%20Gran%20Canaria
Valsequillo De Gran Canaria,"Corderita, La",Bar-Cafeteria,https://www.google.com/maps/search/Corderita%2C%20La%20Valsequillo%20De%20Gran%20Canaria%20Gran%20Canaria
Vega San Mateo,Mallow,Bar-Cafeteria,https://www.google.com/maps/search/Mallow%20Vega%20San%20Mateo%20Gran%20Canaria
Vega San Mateo,Marrero,Bar-Cafeteria,https://www.google.com/maps/search/Marrero%20Vega%20San%20Mateo%20Gran%20Canaria
