fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,num_habitaciones,num_plazas,longitud,latitud,geohash,utm_x,utm_y
0,HOTEL PUERTO DE LAS NIEVES,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35001,Agaete,"AVENIDA ALCALDE JOSÉ DE ARMAS, S/N",30,60,-15.71052,28.102738,esuzf7zyq6,430205.25,3108787.13
2,APARTAMENTOS NIDO DEL AGUILA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"AVENIDA JUAN BOCH MILLARES, S/N",89,261,-15.716819,27.791376,esuy47727x,429384.23,3074298.34
13,APARTAMENTOS TIHUYA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B16,Patalavaca - Arguineguín,35012,Mogán,"AVENIDA DE LOS GUAIRES, 11",12,24,-15.686331,27.77117,esuvgp9dcc,432375.27,3072042.85
24,APARTAMENTOS LOS VELEROS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,"CALLE GUAYADEQUE, 18",25,75,-15.709392,27.784538,esuy4d0b8t,430111.53,3073536.6
35,APARTAMENTOS BAHIA BLANCA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"PASEO DE LA PALMA, 1",110,440,-15.719569,27.787596,esuy46967r,429110.86,3073881.19
46,APARTAMENTOS BABALU,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"CALLE DE LA CORNISA, 15",81,162,-15.717171,27.789644,esuy46gn7m,429348.43,3074106.67
57,APARTAMENTOS CALYPSO BOUTIQUE,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,"AVENIDA GUAYADEQUE, 8",10,30,-15.707662,27.785863,esuy4d602u,430282.82,3073682.4
68,HOTEL PARADISE LAGO TAURITO,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B12,Taurito,35012,Mogán,"CALLE. ALCAZABA, 2",192,517,-15.751511,27.816286,esuy1xf1e5,425983.4,3077078.22
79,APARTAMENTOS MOZART,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"AVENIDA DE LA CORNISA, Nş 26",24,72,-15.717774,27.790278,esuy474dj7,429289.43,3074177.25
90,APARTAMENTOS COLINA MAR,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"CALLE TIMANFAYA, Nş 4",184,552,-15.713856,27.791312,esuy47m80s,429676.09,3074289.55
101,APARTAMENTOS MARIPOSA DEL SOL,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B16,Patalavaca - Arguineguín,35012,Mogán,"AVENIDA LOS GUAIRES, 9",40,136,-15.686299,27.771469,esuvgp9sd9,432378.61,3072075.95
113,APARTAMENTOS PORLAMAR,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,"CALLE EL GAVILAN, 5",40,80,-15.708121,27.784395,esuy49cxy6,430236.66,3073520.04
124,APARTAMENTOS PUERTO CALMA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,35012,Mogán,JOAQUIN BLANCO TORRENT Nş2,120,360,-15.707985,27.782933,esuy499z36,430249.13,3073358.01
135,APARTAMENTOS SOL Y PAZ,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,35012,Mogán,"CALLE TIMANFAYA, 19",40,120,-15.715288,27.791059,esuy47hqxh,429534.85,3074262.34
146,APARTAMENTOS ANFI BEACH CLUB,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B16,Patalavaca - Arguineguín,35012,Mogán,BARRANDO DE LA VERGA S/N,229,778,-15.69445,27.774973,esuy4b78uy,431577.65,3072468.62
157,APARTAMENTOS VALLE MARINA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B16,Patalavaca - Arguineguín,35012,Mogán,"CALLE BJORN LYNG , 2",52,156,-15.692397,27.77745,esuy4btpke,431781.48,3072741.87
