municipio,nombre,grupo
San Bartolome De Tirajana,"Cafetin, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Churreria-Chocolateria Los Angeles-Nazak Kebap & Tandoori Grill House,Bar-Cafeteria
Telde,"Punto-Ca'Patricia, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Tadeo,Bar-Cafeteria
Telde,"Sobrino, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Texas,Bar-Cafeteria
Arucas,Cafeteria Churreria Los Sifones,Bar-Cafeteria
Las Palmas De Gran Canaria,Bristol,Bar-Cafeteria
Las Palmas De Gran Canaria,Correos,Bar-Cafeteria
Las Palmas De Gran Canaria,Hermanos Lantigua E Hijos,Bar-Cafeteria
Las Palmas De Gran Canaria,Almatriche,Bar-Cafeteria
Teror,Nuevo Iris,Bar-Cafeteria
Vega San Mateo,Marrero,Bar-Cafeteria
Las Palmas De Gran Canaria,Por La Mar,Bar-Cafeteria
Las Palmas De Gran Canaria,"Cebolleros, Los",Bar-Cafeteria
Las Palmas De Gran Canaria,J & Food,Bar-Cafeteria
Las Palmas De Gran Canaria,Diego González Santanta,Bar-Cafeteria
Las Palmas De Gran Canaria,Tino,Bar-Cafeteria
Teror,Bar Paco,Bar-Cafeteria
Teror,"Estacion, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Ca-Jonas,Bar-Cafeteria
Las Palmas De Gran Canaria,"Buena Vida, La",Bar-Cafeteria
Teror,Diego,Bar-Cafeteria
Las Palmas De Gran Canaria,"Rinconcito Del Mercado, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Select,Bar-Cafeteria
Las Palmas De Gran Canaria,Vegueta,Bar-Cafeteria
Telde,Mercado,Bar-Cafeteria
Las Palmas De Gran Canaria,Alvama,Bar-Cafeteria
Las Palmas De Gran Canaria,Tico-Tico,Bar-Cafeteria
Las Palmas De Gran Canaria,Hnos. Lantigua E Hijos,Bar-Cafeteria
Las Palmas De Gran Canaria,Nino,Bar-Cafeteria
Las Palmas De Gran Canaria,Neon Piano Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,Maipez,Bar-Cafeteria
Las Palmas De Gran Canaria,Café Orígenes,Bar-Cafeteria
Las Palmas De Gran Canaria,Luciana,Bar-Cafeteria
Las Palmas De Gran Canaria,Hnos.  Arencibia,Bar-Cafeteria
Las Palmas De Gran Canaria,Roman ,Bar-Cafeteria
Las Palmas De Gran Canaria,Mayda,Bar-Cafeteria
Las Palmas De Gran Canaria,Chocolateria Montesol,Bar-Cafeteria
Santa Lucia De Tirajana,"Sarten, La",Bar-Cafeteria
Santa Lucia De Tirajana,Verde,Bar-Cafeteria
Santa Lucia De Tirajana,Fataga,Bar-Cafeteria
Las Palmas De Gran Canaria,A' Raices,Bar-Cafeteria
Las Palmas De Gran Canaria,El Templo,Bar-Cafeteria
Las Palmas De Gran Canaria,"Piscina, La",Bar-Cafeteria
Telde,Cubano,Bar-Cafeteria
Aguimes,Del Pino,Bar-Cafeteria
Arucas,Benjamin,Bar-Cafeteria
Las Palmas De Gran Canaria,Cardenas,Bar-Cafeteria
Las Palmas De Gran Canaria,Churreria De Vera,Bar-Cafeteria
Santa Lucia De Tirajana,La Portada Bohemia,Bar-Cafeteria
Arucas,Toribio,Bar-Cafeteria
Las Palmas De Gran Canaria,Cho Paco,Bar-Cafeteria
Las Palmas De Gran Canaria,"De Lola, Los",Bar-Cafeteria
Telde,Peñate,Bar-Cafeteria
Las Palmas De Gran Canaria,Laiba Doner Kebab,Bar-Cafeteria
Las Palmas De Gran Canaria,El Teteo,Bar-Cafeteria
Firgas,Santana,Bar-Cafeteria
Las Palmas De Gran Canaria,"Ruiseñor, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Manila Bar Karaoke,Bar-Cafeteria
Las Palmas De Gran Canaria,Pollo Frito Chn,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis Alberto,Bar-Cafeteria
Las Palmas De Gran Canaria,Ca'Paco-Bar Drink Team,Bar-Cafeteria
Valsequillo De Gran Canaria,"Corderita, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Erika,Bar-Cafeteria
Las Palmas De Gran Canaria,Bar Rueda,Bar-Cafeteria
Las Palmas De Gran Canaria,Salmón Food &Amp; Drinks,Bar-Cafeteria
Arucas,La Choza Del Papeo,Bar-Cafeteria
Las Palmas De Gran Canaria,"Rincon De Vero, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Ca Miguelito,Bar-Cafeteria
La Aldea De San Nicolas,Felix,Bar-Cafeteria
Ingenio,Yo-Ya,Bar-Cafeteria
Las Palmas De Gran Canaria,Churreria Mercado Del Puerto,Bar-Cafeteria
Las Palmas De Gran Canaria,Doner Kebap Las Palmas,Bar-Cafeteria
Las Palmas De Gran Canaria,"Vista, La",Bar-Cafeteria
Aguimes,Peña,Bar-Cafeteria
Las Palmas De Gran Canaria,"Marineros, Los",Bar-Cafeteria
Las Palmas De Gran Canaria,"Campanas, Las",Bar-Cafeteria
Santa Maria De Guia De Gran Canaria,La Tasquita De Mateo,Bar-Cafeteria
Telde,Ventura,Bar-Cafeteria
Las Palmas De Gran Canaria,La Tabernilla,Bar-Cafeteria
Mogan,Stop,Bar-Cafeteria
Las Palmas De Gran Canaria,Moreno,Bar-Cafeteria
Ingenio,"Gran Sol, El",Bar-Cafeteria
San Bartolome De Tirajana,"Garage, El",Bar-Cafeteria
Las Palmas De Gran Canaria,"Helechos, Los",Bar-Cafeteria
Las Palmas De Gran Canaria,Me Supo,Bar-Cafeteria
Las Palmas De Gran Canaria,Jacky,Bar-Cafeteria
Las Palmas De Gran Canaria,Casa Suecia,Bar-Cafeteria
San Bartolome De Tirajana,Alemana,Bar-Cafeteria
Ingenio,Sociedad De Cultura Y Recreo Carrizal,Bar-Cafeteria
Telde,Marrero,Bar-Cafeteria
Las Palmas De Gran Canaria,Caroni,Bar-Cafeteria
Las Palmas De Gran Canaria,Imaginario Drink & Music,Bar-Cafeteria
Las Palmas De Gran Canaria,Los Girasoles,Bar-Cafeteria
Las Palmas De Gran Canaria,Papi'S Bar Cafe,Bar-Cafeteria
Las Palmas De Gran Canaria,Quiosco Modernista,Bar-Cafeteria
Las Palmas De Gran Canaria,Cerveceria Munich,Bar-Cafeteria
Las Palmas De Gran Canaria,Menu Fusion Las Palmas,Bar-Cafeteria
Valsequillo De Gran Canaria,"Cañas, Las",Bar-Cafeteria
Las Palmas De Gran Canaria,De Vero,Bar-Cafeteria
Las Palmas De Gran Canaria,Sporting,Bar-Cafeteria
