municipio,nombre,tipo,url_maps
Agulo,APARTAMENTOS BAJIP,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20BAJIP%20Agulo%20La%20Gomera
Alajeró,APARTAMENTOS CASANOVA I,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20CASANOVA%20I%20Alajer%C3%B3%20La%20Gomera
Alajeró,APARTAMENTOS TAPAHUGA,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20TAPAHUGA%20Alajer%C3%B3%20La%20Gomera
Hermigua,APARTAMENTOS CASA DIVERSA,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20CASA%20DIVERSA%20Hermigua%20La%20Gomera
Hermigua,APARTAMENTOS LOS TELARES,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20LOS%20TELARES%20Hermigua%20La%20Gomera
San Sebastián de La Gomera,HOTEL JARDIN TECINA,Hotel,https://www.google.com/maps/search/HOTEL%20JARDIN%20TECINA%20San%20Sebasti%C3%A1n%20de%20La%20Gomera%20La%20Gomera
San Sebastián de La Gomera,PARADOR DE TURISMO CONDE DE LA GOMERA,Hotel,https://www.google.com/maps/search/PARADOR%20DE%20TURISMO%20CONDE%20DE%20LA%20GOMERA%20San%20Sebasti%C3%A1n%20de%20La%20Gomera%20La%20Gomera
Valle Gran Rey,HOTEL CANDELARIA,Hotel,https://www.google.com/maps/search/HOTEL%20CANDELARIA%20Valle%20Gran%20Rey%20La%20Gomera
Valle Gran Rey,HOTEL GRAN REY,Hotel,https://www.google.com/maps/search/HOTEL%20GRAN%20REY%20Valle%20Gran%20Rey%20La%20Gomera
Vallehermoso,HOTEL ARGAYALL,Hotel,https://www.google.com/maps/search/HOTEL%20ARGAYALL%20Vallehermoso%20La%20Gomera
Vallehermoso,HOTEL SONIA,Hotel,https://www.google.com/maps/search/HOTEL%20SONIA%20Vallehermoso%20La%20Gomera
