municipio,playa,url_maps
San Sebastián de La Gomera,Playa de San Sebastián,https://www.google.com/maps/search/Playa%20Playa%20de%20San%20Sebasti%C3%A1n%20San%20Sebasti%C3%A1n%20de%20La%20Gomera%20La%20Gomera
San Sebastián de La Gomera,Playa de La Cueva,https://www.google.com/maps/search/Playa%20Playa%20de%20La%20Cueva%20San%20Sebasti%C3%A1n%20de%20La%20Gomera%20La%20Gomera
San Sebastián de La Gomera,Playa de la Guancha,https://www.google.com/maps/search/Playa%20Playa%20de%20la%20Guancha%20San%20Sebasti%C3%A1n%20de%20La%20Gomera%20La%20Gomera
Hermigua,Playa de Hermigua,https://www.google.com/maps/search/Playa%20Playa%20de%20Hermigua%20Hermigua%20La%20Gomera
Hermigua,Playa de La Caleta,https://www.google.com/maps/search/Playa%20Playa%20de%20La%20Caleta%20Hermigua%20La%20Gomera
Hermigua,Playa de Santa Catalina,https://www.google.com/maps/search/Playa%20Playa%20de%20Santa%20Catalina%20Hermigua%20La%20Gomera
Agulo,Playa de Agulo,https://www.google.com/maps/search/Playa%20Playa%20de%20Agulo%20Agulo%20La%20Gomera
Agulo,Playa de San Marcos,https://www.google.com/maps/search/Playa%20Playa%20de%20San%20Marcos%20Agulo%20La%20Gomera
Agulo,Playa de los Ajos,https://www.google.com/maps/search/Playa%20Playa%20de%20los%20Ajos%20Agulo%20La%20Gomera
Vallehermoso,Playa de Vallehermoso,https://www.google.com/maps/search/Playa%20Playa%20de%20Vallehermoso%20Vallehermoso%20La%20Gomera
Vallehermoso,Playa de Alojera,https://www.google.com/maps/search/Playa%20Playa%20de%20Alojera%20Vallehermoso%20La%20Gomera
Vallehermoso,Playa de La Rajita,https://www.google.com/maps/search/Playa%20Playa%20de%20La%20Rajita%20Vallehermoso%20La%20Gomera
Valle Gran Rey,Playa de Vueltas,https://www.google.com/maps/search/Playa%20Playa%20de%20Vueltas%20Valle%20Gran%20Rey%20La%20Gomera
Valle Gran Rey,Playa de La Calera,https://www.google.com/maps/search/Playa%20Playa%20de%20La%20Calera%20Valle%20Gran%20Rey%20La%20Gomera
Valle Gran Rey,Playa del Inglés,https://www.google.com/maps/search/Playa%20Playa%20del%20Ingl%C3%A9s%20Valle%20Gran%20Rey%20La%20Gomera
Alajeró,Playa de Santiago,https://www.google.com/maps/search/Playa%20Playa%20de%20Santiago%20Alajer%C3%B3%20La%20Gomera
Alajeró,Playa de Erese,https://www.google.com/maps/search/Playa%20Playa%20de%20Erese%20Alajer%C3%B3%20La%20Gomera
Alajeró,Playa del Medio,https://www.google.com/maps/search/Playa%20Playa%20del%20Medio%20Alajer%C3%B3%20La%20Gomera
