municipio,nombre,grupo,url_maps
Agulo,Avenida,Bar-Cafeteria,https://www.google.com/maps/search/Avenida%20Agulo%20La%20Gomera
Agulo,El Mantillo,Bar-Cafeteria,https://www.google.com/maps/search/El%20Mantillo%20Agulo%20La%20Gomera
Alajero,Bar Restaurante La Chalana,Bar-Cafeteria,https://www.google.com/maps/search/Bar%20Restaurante%20La%20Chalana%20Alajero%20La%20Gomera
Alajero,La Alegría,Bar-Cafeteria,https://www.google.com/maps/search/La%20Alegr%C3%ADa%20Alajero%20La%20Gomera
Hermigua,Grafiano,Bar-Cafeteria,https://www.google.com/maps/search/Grafiano%20Hermigua%20La%20Gomera
Hermigua,Piloto,Bar-Cafeteria,https://www.google.com/maps/search/Piloto%20Hermigua%20La%20Gomera
San Sebastian De La Gomera,La Candelaria,Bar-Cafeteria,https://www.google.com/maps/search/La%20Candelaria%20San%20Sebastian%20De%20La%20Gomera%20La%20Gomera
San Sebastian De La Gomera,La Pista,Bar-Cafeteria,https://www.google.com/maps/search/La%20Pista%20San%20Sebastian%20De%20La%20Gomera%20La%20Gomera
Valle Gran Rey,Edén Libre,Bar-Cafeteria,https://www.google.com/maps/search/Ed%C3%A9n%20Libre%20Valle%20Gran%20Rey%20La%20Gomera
Valle Gran Rey,La Parada,Bar-Cafeteria,https://www.google.com/maps/search/La%20Parada%20Valle%20Gran%20Rey%20La%20Gomera
Vallehermoso,Los Mocanes,Bar-Cafeteria,https://www.google.com/maps/search/Los%20Mocanes%20Vallehermoso%20La%20Gomera
Vallehermoso,Luisa,Bar-Cafeteria,https://www.google.com/maps/search/Luisa%20Vallehermoso%20La%20Gomera
