fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y,num_habitaciones,num_plazas
29.0,APARTAMENTOS LOS TELARES,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38021.0,Hermigua,"CALLE EL CONVENTO, S/N",22,45,-17.198,28.151638,et5b0sug1t,284160.79,3115954.2,,
30.0,APARTAMENTOS CASA DIVERSA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38021.0,Hermigua,"LAS NUEVITAS, 42",10,20,-17.187149,28.16837,et5b0zuswk,285260.05,3117789.23,,
31.0,APARTAMENTOS PLAYA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38021.0,Hermigua,"PLAYA SANTA CATALINA, 22",4,8,-17.182975,28.177761,et5b2cxere,285688.71,3118822.58,,
32.0,FINCA PIŃERO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38021.0,Hermigua,C/ PATRONATO CTRA. GENERAL KM.20,9,22,-17.19821,28.154252,et5b0tkdks,284145.41,3116244.26,,
163.0,HOTEL JARDIN TECINA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,LOMADA S/N,434,868,-17.189275,28.030819,esgz2yg5kg,284776.78,3102549.31,,
164.0,PARADOR DE TURISMO CONDE DE LA GOMERA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,"CERRO DE LA HORCA, S/N",60,120,-17.107476,28.091082,esgzf9ydqv,292935.96,3109085.74,,
165.0,HOTEL VILLA GOMERA,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,"CALLE RUIZ DE PADRON, 68",16,32,-17.112441,28.093211,esgzfd5ng4,292452.11,3109330.14,,
166.0,HOTEL TORRE DEL CONDE,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,CALLE RUIZ DE PADRON Nş 19,68,123,-17.1114,28.091391,esgzf9gu5q,292550.92,3109126.68,,
167.0,HOTEL LA COLOMBINA,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,"CALLE RUIZ DE PADRON, 83",31,62,-17.113167,28.093828,esgzfd6d6m,292381.95,3109399.76,,
169.0,HOTEL FINCA EL CABRITO,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,"CALLE EL CABRITO, S/N.",20,46,-17.144407,28.06451,esgz9ugzd7,289254.57,3106204.48,,
170.0,APARTAMENTOS ORQUIDEA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,AVENIDA COLON Nş 22,18,36,-17.112534,28.092068,esgzfd501j,292440.77,3109203.63,,
171.0,APARTAMENTOS CASA ROLAND,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,"CALLE EL LIRIAZO, S/N",4,8,-17.10311,28.094134,esgzff3uhw,293370.89,3109416.53,,
172.0,APARTAMENTOS SAN SEBASTIAN,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,CALLE REAL Nş 20,20,30,-17.110853,28.091837,esgzf9uqb1,292605.53,3109175.17,,
173.0,APARTAMENTOS CHIJERE,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,"CALLE EL LIRIAZO, S/N",9,18,-17.105375,28.092948,esgzff0jrc,293146.02,3109288.96,,
174.0,APARTAMENTOS BELLAVISTA GOMERA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,"SANTA ANA LAGUNA SANTIAGO, S/N",10,30,-17.194181,28.032939,esgz2xpxdw,284298.58,3102792.93,,
175.0,APARTAMENTOS CANARIAS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,RUIZ DE PADRON Nş 3,12,24,-17.110857,28.090679,esgzf9u204,292602.91,3109046.85,,
176.0,APARTAMENTOS RAMON,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38036.0,San Sebastián de La Gomera,CALLE ISLA DE LOBOS 11,8,28,-17.121318,28.091225,esgzf3uehr,291575.88,3109125.24,,
240.0,HOTEL GRAN REY,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"AVENIDA MARITIMA 1, LA PUNTILLA",99,210,-17.338942,28.08916,esgxv3qpjq,270183.1,3109288.59,,
241.0,HOTEL CANDELARIA,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE ITALIA, Nş 18",6,12,-17.333217,28.08342,esgxv86mfb,270733.59,3108641.63,,
242.0,HOTEL PLAYAMAR,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"PASEO LAS PALMERAS, 7",4,9,-17.342891,28.095044,esgxv6e33r,269807.53,3109948.17,,
243.0,HOTEL JARDIN CONCHA,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,CALLE LA ORQUIDEA Nş 1,7,14,-17.336074,28.095689,esgxvd8m20,270478.89,3110006.77,,
244.0,APARTHOTEL PLAYA CALERA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE PUNTA CALERA, 2",63,122,-17.343749,28.095282,esgxv6ddvk,269723.71,3109976.18,,
245.0,APARTAMENTOS GOMERA LOUNGE,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,PASEO LAS PALMERAS 9,15,27,-17.343131,28.095039,esgxv6e17y,269783.93,3109948.07,,
247.0,APARTAMENTOS LOLA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LA PLAYA, 5",10,14,-17.342736,28.096241,esgxv6g2ky,269825.32,3110080.54,,
248.0,APARTAMENTOS ERASMO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE EL ASTILLERO, 2",10,20,-17.333247,28.083268,esgxv86kfh,270730.32,3108624.84,,
249.0,APARTAMENTOS RIVAS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LA GURONA, 31",4,8,-17.335967,28.095857,esgxvd8q4x,270489.76,3110025.18,,
250.0,APARTAMENTOS NUDALI,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LA CALERA, 66",2,10,-17.334628,28.096632,esgxvdc69z,270623.01,3110108.55,,
251.0,APARTAMENTOS EL MOLINO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE EL CAIDERO, 8",6,18,-17.334249,28.096137,esgxvd9xfe,270659.21,3110052.97,,
252.0,APARTAMENTOS CABELLOS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LAS VUELTAS, S/N",7,15,-17.334376,28.083446,esgxv83mzv,270619.73,3108646.69,,
253.0,APARTAMENTOS GRAN REY,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LA ALAMEDA, 19 (LAS ORIJAMAS)",8,30,-17.331859,28.098503,esgxve5mdk,270899.13,3110310.69,,
254.0,APARTAMENTOS DOMINGUEZ,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LA ORQUÍDEA, 3",13,42,-17.336115,28.095861,esgxvd8nr0,270475.23,3110025.91,,
255.0,APARTAMENTOS CASA PABLO PESCADOR,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LA RODADERA, 3",9,24,-17.334436,28.083859,esgxv892q6,270614.71,3108692.58,,
256.0,APARTAMENTOS LOS MIRLOS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE EL PESCUESITO, 28",2,6,-17.333684,28.085162,esgxv89zzv,270691.39,3108835.57,,
258.0,APARTAMENTOS EL CONTERO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE EL CAIDERO, 20",6,18,-17.335859,28.094971,esgxvd83j4,270498.49,3109926.79,,
259.0,APARTAMENTOS NAVARRO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LAS VUELTAS, 27",8,16,-17.334806,28.083725,esgxv83pt9,270578.06,3108678.43,,
260.0,APARTAMENTOS SAN JOSE,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LOS MÉDANOS, 2",5,10,-17.342534,28.096076,esgxv6ex98,269844.82,3110061.87,,
261.0,APARTAMENTOS CONCHA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"CALLE LA CALERA, 8",3,6,-17.335794,28.095517,esgxvd8knx,270506.04,3109987.18,,
262.0,APARTAMENTOS BALCON CANARIO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"PASEO LAS PALMERAS, 3",6,12,-17.342432,28.095343,esgxv6eehp,269853.28,3109980.44,,
263.0,APARTAMENTOS HUMBERTO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,"C/ LA RODADERA, Nş 7 (LOMO DE VUELTAS)",6,14,-17.334207,28.083958,esgxv898gt,270637.43,3108703.12,,
264.0,APARTAMENTOS LUCIA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES706,La Gomera,ES706B0,La Gomera,ES706B00,La Gomera,38049.0,Valle Gran Rey,LOS GRANADOS N 3,2,6,-17.318106,28.111422,esgxvvt2fu,272278.05,3111716.62,,
