establecimiento_id;establecimiento_nombre_comercial;establecimiento_grupo;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio;direccion_localidad;direccion_codigo_postal;longitud;latitud
B-38-6-0000001;Los Mocanes;Bar-Cafeteria;Bda.De Tamargada, 1;La Gomera;Santa Cruz De Tenerife;Vallehermoso;_U;38600;-17.237354;28.183924
B-38-6-0000005;Edén Libre;Bar-Cafeteria;La Puntilla,;La Gomera;Santa Cruz De Tenerife;Valle Gran Rey;_U;38870;-17.33873;28.08898
B-38-6-0000006;La Pista;Bar-Cafeteria;Ctra. Llano, 4;La Gomera;Santa Cruz De Tenerife;San Sebastian De La Gomera;_U;38800;0.0;0.0
B-38-6-0000007;La Parada;Bar-Cafeteria;El Caidero,;La Gomera;Santa Cruz De Tenerife;Valle Gran Rey;_U;38870;-17.33511;28.09519
B-38-6-0000008;Ramos;Bar-Cafeteria;Arure,;La Gomera;Santa Cruz De Tenerife;Valle Gran Rey;_U;38870;-17.319511;28.134718
B-38-6-0000009;Puerto;Bar-Cafeteria;El Hornillo,;La Gomera;Santa Cruz De Tenerife;Valle Gran Rey;_U;38600;-17.33257;28.08097
B-38-6-0000012;Grafiano;Bar-Cafeteria;Lomo San Pedro,;La Gomera;Santa Cruz De Tenerife;Hermigua;_U;38820;-17.200028;28.150235
B-38-6-0000014;La Candelaria;Bar-Cafeteria;Del Medio, 97;La Gomera;Santa Cruz De Tenerife;San Sebastian De La Gomera;_U;38800;-17.113284;28.094623
B-38-6-0000015;El Molinito;Bar-Cafeteria;El Molinito,;La Gomera;Santa Cruz De Tenerife;San Sebastian De La Gomera;_U;38800;-17.109683;28.090405
B-38-6-0000016;La Nasa;Bar-Cafeteria;Ruiz De Padrón, 6;La Gomera;Santa Cruz De Tenerife;San Sebastian De La Gomera;_U;38800;-17.11081;28.090887
B-38-6-0000018;Los Pescaditos;Bar-Cafeteria;República De Panama, 3;La Gomera;Santa Cruz De Tenerife;San Sebastian De La Gomera;_U;38800;-17.111311;28.092742
B-38-6-0000019;Piloto;Bar-Cafeteria;Sta. Catalina, S/N;La Gomera;Santa Cruz De Tenerife;Hermigua;_U;38820;-17.183466;28.177791
B-38-6-0000020;El Mantillo;Bar-Cafeteria;El Mantillo, S/N;La Gomera;Santa Cruz De Tenerife;Agulo;_U;38830;-17.194641;28.186468
B-38-6-0000023;Auto Bar;Bar-Cafeteria;Republica De Chile, 3;La Gomera;Santa Cruz De Tenerife;San Sebastian De La Gomera;_U;38800;-17.111103;28.09182
B-38-6-0000024;El Chaparral;Bar-Cafeteria;Llano De La Villa, 135;La Gomera;Santa Cruz De Tenerife;San Sebastian De La Gomera;_U;38600;0.0;0.0
