municipio,nombre,tipo,url_maps
Barlovento,HOTEL LA PALMA ROMANTICA,Hotel,https://www.google.com/maps/search/HOTEL%20LA%20PALMA%20ROMANTICA%20Barlovento%20La%20Palma
Breña Alta,APARTAMENTOS LOS MORALES,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20LOS%20MORALES%20Bre%C3%B1a%20Alta%20La%20Palma
Breña Alta,APARTAMENTOS MIRANDA,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20MIRANDA%20Bre%C3%B1a%20Alta%20La%20Palma
Breña Baja,HOTEL H10 TABURIENTE PLAYA,Hotel,https://www.google.com/maps/search/HOTEL%20H10%20TABURIENTE%20PLAYA%20Bre%C3%B1a%20Baja%20La%20Palma
Breña Baja,PARADOR NACIONAL DE LA PALMA,Hotel,https://www.google.com/maps/search/PARADOR%20NACIONAL%20DE%20LA%20PALMA%20Bre%C3%B1a%20Baja%20La%20Palma
El Paso,APARTAMENTOS CASA DE LAS PALMERAS,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20CASA%20DE%20LAS%20PALMERAS%20El%20Paso%20La%20Palma
El Paso,APARTAMENTOS HERMOSILLA,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20HERMOSILLA%20El%20Paso%20La%20Palma
Fuencaliente,HOTEL LA PALMA & TENEGUÍA PRINCESS,Hotel,https://www.google.com/maps/search/HOTEL%20LA%20PALMA%20%26%20TENEGU%C3%8DA%20PRINCESS%20Fuencaliente%20La%20Palma
Fuencaliente,PENSION CENTRAL,Hotel,https://www.google.com/maps/search/PENSION%20CENTRAL%20Fuencaliente%20La%20Palma
Fuencaliente de La Palma,HOTEL LA PALMA PRINCESS,Hotel,https://www.google.com/maps/search/HOTEL%20LA%20PALMA%20PRINCESS%20Fuencaliente%20de%20La%20Palma%20La%20Palma
Fuencaliente de La Palma,PENSION CENTRAL,Hotel,https://www.google.com/maps/search/PENSION%20CENTRAL%20Fuencaliente%20de%20La%20Palma%20La%20Palma
Garafía,Casa La Fuente Garafía,Vivienda Vacacional,https://www.google.com/maps/search/Casa%20La%20Fuente%20Garaf%C3%ADa%20Garaf%C3%ADa%20La%20Palma
Garafía,Casa Los Hondos Garafía,Vivienda Vacacional,https://www.google.com/maps/search/Casa%20Los%20Hondos%20Garaf%C3%ADa%20Garaf%C3%ADa%20La%20Palma
Los Llanos de Aridane,HOTEL EDEN,Hotel,https://www.google.com/maps/search/HOTEL%20EDEN%20Los%20Llanos%20de%20Aridane%20La%20Palma
Los Llanos de Aridane,HOTEL VALLE ARIDANE,Hotel,https://www.google.com/maps/search/HOTEL%20VALLE%20ARIDANE%20Los%20Llanos%20de%20Aridane%20La%20Palma
Puntagorda,PENSION MAR Y MONTE,Hotel,https://www.google.com/maps/search/PENSION%20MAR%20Y%20MONTE%20Puntagorda%20La%20Palma
Puntallana,Casa Rural Doña Herminia,Casa Rural,https://www.google.com/maps/search/Casa%20Rural%20Do%C3%B1a%20Herminia%20Puntallana%20La%20Palma
Puntallana,Casa Rural Los Melindros,Casa Rural,https://www.google.com/maps/search/Casa%20Rural%20Los%20Melindros%20Puntallana%20La%20Palma
San Andrés y Sauces,PENSION LAS LONJAS,Hotel,https://www.google.com/maps/search/PENSION%20LAS%20LONJAS%20San%20Andr%C3%A9s%20y%20Sauces%20La%20Palma
San Andrés y Sauces,PENSION RESIDENCIA EL DRAGO,Hotel,https://www.google.com/maps/search/PENSION%20RESIDENCIA%20EL%20DRAGO%20San%20Andr%C3%A9s%20y%20Sauces%20La%20Palma
Santa Cruz de La Palma,HOTEL CASTILLETE,Hotel,https://www.google.com/maps/search/HOTEL%20CASTILLETE%20Santa%20Cruz%20de%20La%20Palma%20La%20Palma
Santa Cruz de La Palma,PENSION LA CUBANA,Hotel,https://www.google.com/maps/search/PENSION%20LA%20CUBANA%20Santa%20Cruz%20de%20La%20Palma%20La%20Palma
Tazacorte,APARTAMENTOS ISA TAZACORTE,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20ISA%20TAZACORTE%20Tazacorte%20La%20Palma
Tazacorte,APARTAMENTOS MORROSOL,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20MORROSOL%20Tazacorte%20La%20Palma
Tijarafe,APARTAMENTOS VISTA HERMOSA I,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20VISTA%20HERMOSA%20I%20Tijarafe%20La%20Palma
Villa de Mazo,HOTEL ARMINDA,Hotel,https://www.google.com/maps/search/HOTEL%20ARMINDA%20Villa%20de%20Mazo%20La%20Palma
