municipio,playa,url_maps
Barlovento,Playa Punta Cumplida,https://www.google.com/maps/search/Playa%20Playa%20Punta%20Cumplida%20Barlovento%20La%20Palma
Barlovento,Piscinas de La Fajana,https://www.google.com/maps/search/Playa%20Piscinas%20de%20La%20Fajana%20Barlovento%20La%20Palma
Barlovento,Charco Azul,https://www.google.com/maps/search/Playa%20Charco%20Azul%20Barlovento%20La%20Palma
San Andrés y Sauces,Charco Azul,https://www.google.com/maps/search/Playa%20Charco%20Azul%20San%20Andr%C3%A9s%20y%20Sauces%20La%20Palma
San Andrés y Sauces,Playa Puerto Espíndola,https://www.google.com/maps/search/Playa%20Playa%20Puerto%20Esp%C3%ADndola%20San%20Andr%C3%A9s%20y%20Sauces%20La%20Palma
Puntallana,Playa de Nogales,https://www.google.com/maps/search/Playa%20Playa%20de%20Nogales%20Puntallana%20La%20Palma
Santa Cruz de La Palma,Playa de Santa Cruz de La Palma,https://www.google.com/maps/search/Playa%20Playa%20de%20Santa%20Cruz%20de%20La%20Palma%20Santa%20Cruz%20de%20La%20Palma%20La%20Palma
Santa Cruz de La Palma,Playa de Bajamar,https://www.google.com/maps/search/Playa%20Playa%20de%20Bajamar%20Santa%20Cruz%20de%20La%20Palma%20La%20Palma
Breña Baja,Playa de Los Cancajos,https://www.google.com/maps/search/Playa%20Playa%20de%20Los%20Cancajos%20Bre%C3%B1a%20Baja%20La%20Palma
Villa de Mazo,Playa de La Salemera,https://www.google.com/maps/search/Playa%20Playa%20de%20La%20Salemera%20Villa%20de%20Mazo%20La%20Palma
Fuencaliente de La Palma,Playa Echentive,https://www.google.com/maps/search/Playa%20Playa%20Echentive%20Fuencaliente%20de%20La%20Palma%20La%20Palma
Fuencaliente de La Palma,Playa Nueva,https://www.google.com/maps/search/Playa%20Playa%20Nueva%20Fuencaliente%20de%20La%20Palma%20La%20Palma
Fuencaliente de La Palma,Playa del Faro,https://www.google.com/maps/search/Playa%20Playa%20del%20Faro%20Fuencaliente%20de%20La%20Palma%20La%20Palma
Fuencaliente de La Palma,Playa de Zamora,https://www.google.com/maps/search/Playa%20Playa%20de%20Zamora%20Fuencaliente%20de%20La%20Palma%20La%20Palma
Fuencaliente de La Palma,Playa La Lajita,https://www.google.com/maps/search/Playa%20Playa%20La%20Lajita%20Fuencaliente%20de%20La%20Palma%20La%20Palma
Los Llanos de Aridane,Playa de Puerto Naos,https://www.google.com/maps/search/Playa%20Playa%20de%20Puerto%20Naos%20Los%20Llanos%20de%20Aridane%20La%20Palma
Los Llanos de Aridane,Playa de Charco Verde,https://www.google.com/maps/search/Playa%20Playa%20de%20Charco%20Verde%20Los%20Llanos%20de%20Aridane%20La%20Palma
Tazacorte,Playa de Tazacorte,https://www.google.com/maps/search/Playa%20Playa%20de%20Tazacorte%20Tazacorte%20La%20Palma
Tijarafe,Playa de La Veta,https://www.google.com/maps/search/Playa%20Playa%20de%20La%20Veta%20Tijarafe%20La%20Palma
Tijarafe,Porís de Candelaria,https://www.google.com/maps/search/Playa%20Por%C3%ADs%20de%20Candelaria%20Tijarafe%20La%20Palma
Puntagorda,Puerto de Puntagorda,https://www.google.com/maps/search/Playa%20Puerto%20de%20Puntagorda%20Puntagorda%20La%20Palma
Garafía,Playa del Tablado,https://www.google.com/maps/search/Playa%20Playa%20del%20Tablado%20Garaf%C3%ADa%20La%20Palma
Garafía,Playa de Callejones,https://www.google.com/maps/search/Playa%20Playa%20de%20Callejones%20Garaf%C3%ADa%20La%20Palma
Garafía,Playa de Las Tricias,https://www.google.com/maps/search/Playa%20Playa%20de%20Las%20Tricias%20Garaf%C3%ADa%20La%20Palma
