municipio,nombre,grupo,url_maps
Barlovento,El Ideal,Bar-Cafeteria,https://www.google.com/maps/search/El%20Ideal%20Barlovento%20La%20Palma
Barlovento,Juventud Norteña,Bar-Cafeteria,https://www.google.com/maps/search/Juventud%20Norte%C3%B1a%20Barlovento%20La%20Palma
Breña Alta,Teneguia,Bar-Cafeteria,https://www.google.com/maps/search/Teneguia%20Bre%C3%B1a%20Alta%20La%20Palma
Breña Alta,Venezuela,Bar-Cafeteria,https://www.google.com/maps/search/Venezuela%20Bre%C3%B1a%20Alta%20La%20Palma
Breña Baja,Juventud Española,Bar-Cafeteria,https://www.google.com/maps/search/Juventud%20Espa%C3%B1ola%20Bre%C3%B1a%20Baja%20La%20Palma
Breña Baja,Paris,Bar-Cafeteria,https://www.google.com/maps/search/Paris%20Bre%C3%B1a%20Baja%20La%20Palma
El Paso,Bocaccio,Bar-Cafeteria,https://www.google.com/maps/search/Bocaccio%20El%20Paso%20La%20Palma
El Paso,Cumbre,Bar-Cafeteria,https://www.google.com/maps/search/Cumbre%20El%20Paso%20La%20Palma
Fuencaliente De La Palma,La Cantina Del Gladiador,Bar-Cafeteria,https://www.google.com/maps/search/La%20Cantina%20Del%20Gladiador%20Fuencaliente%20De%20La%20Palma%20La%20Palma
Fuencaliente De La Palma,Los Amigos  Juan Petra,Bar-Cafeteria,https://www.google.com/maps/search/Los%20Amigos%20%20Juan%20Petra%20Fuencaliente%20De%20La%20Palma%20La%20Palma
Garafia,Baltasar Martín,Bar-Cafeteria,https://www.google.com/maps/search/Baltasar%20Mart%C3%ADn%20Garafia%20La%20Palma
Garafia,Taberna Santi,Bar-Cafeteria,https://www.google.com/maps/search/Taberna%20Santi%20Garafia%20La%20Palma
Los Llanos De Aridane,Avenida,Bar-Cafeteria,https://www.google.com/maps/search/Avenida%20Los%20Llanos%20De%20Aridane%20La%20Palma
Los Llanos De Aridane,Galicia,Bar-Cafeteria,https://www.google.com/maps/search/Galicia%20Los%20Llanos%20De%20Aridane%20La%20Palma
Puntagorda,Cuatro Caminos,Bar-Cafeteria,https://www.google.com/maps/search/Cuatro%20Caminos%20Puntagorda%20La%20Palma
Puntagorda,El Roque,Bar-Cafeteria,https://www.google.com/maps/search/El%20Roque%20Puntagorda%20La%20Palma
Puntallana,El Rincón,Bar-Cafeteria,https://www.google.com/maps/search/El%20Rinc%C3%B3n%20Puntallana%20La%20Palma
Puntallana,La Unión,Bar-Cafeteria,https://www.google.com/maps/search/La%20Uni%C3%B3n%20Puntallana%20La%20Palma
San Andres Y Sauces,Del Puerto,Bar-Cafeteria,https://www.google.com/maps/search/Del%20Puerto%20San%20Andres%20Y%20Sauces%20La%20Palma
San Andres Y Sauces,Miami,Bar-Cafeteria,https://www.google.com/maps/search/Miami%20San%20Andres%20Y%20Sauces%20La%20Palma
Santa Cruz De La Palma,La Esquina,Bar-Cafeteria,https://www.google.com/maps/search/La%20Esquina%20Santa%20Cruz%20De%20La%20Palma%20La%20Palma
Santa Cruz De La Palma,La Peña,Bar-Cafeteria,https://www.google.com/maps/search/La%20Pe%C3%B1a%20Santa%20Cruz%20De%20La%20Palma%20La%20Palma
Tazacorte,Avenida,Bar-Cafeteria,https://www.google.com/maps/search/Avenida%20Tazacorte%20La%20Palma
Tazacorte,Tigotán,Bar-Cafeteria,https://www.google.com/maps/search/Tigot%C3%A1n%20Tazacorte%20La%20Palma
Tijarafe,Alberto,Bar-Cafeteria,https://www.google.com/maps/search/Alberto%20Tijarafe%20La%20Palma
Tijarafe,Canarias,Bar-Cafeteria,https://www.google.com/maps/search/Canarias%20Tijarafe%20La%20Palma
Villa De Mazo,Central,Bar-Cafeteria,https://www.google.com/maps/search/Central%20Villa%20De%20Mazo%20La%20Palma
Villa De Mazo,Puente Roto,Bar-Cafeteria,https://www.google.com/maps/search/Puente%20Roto%20Villa%20De%20Mazo%20La%20Palma
