establecimiento_id;establecimiento_nombre_comercial;establecimiento_grupo;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio;direccion_localidad;direccion_codigo_postal;longitud;latitud
B-38-5-0000004;La Peña;Bar-Cafeteria;Díaz Pimienta, 2;La Palma;Santa Cruz De Tenerife;Santa Cruz De La Palma;_U;38700;-17.764161;28.684404
B-38-5-0000009;Cuatro Caminos;Bar-Cafeteria;El Pinar,;La Palma;Santa Cruz De Tenerife;Puntagorda;_U;38789;-17.978142;28.77355
B-38-5-0000011;Avenida;Bar-Cafeteria;Avda.Doctor Feming, 5;La Palma;Santa Cruz De Tenerife;Los Llanos De Aridane;_U;38760;-17.913771;28.659642
B-38-5-0000013;Galicia;Bar-Cafeteria;Avda.Doctor Fleming, 4;La Palma;Santa Cruz De Tenerife;Los Llanos De Aridane;_U;38760;-17.9141;28.65968
B-38-5-0000014;Los Amigos  Juan Petra;Bar-Cafeteria;Las Indias, 146;La Palma;Santa Cruz De Tenerife;Fuencaliente De La Palma;_U;38740;-17.862532;28.504171
B-38-5-0000015;El Roque;Bar-Cafeteria;Crta. General , 13;La Palma;Santa Cruz De Tenerife;Puntagorda;_U;38789;-17.975896;28.757453
B-38-5-0000020;Bocaccio;Bar-Cafeteria;Tendiña, 11;La Palma;Santa Cruz De Tenerife;El Paso;_U;38750;-17.895352;28.638795
B-38-5-0000021;Alberto;Bar-Cafeteria;La Punta,;La Palma;Santa Cruz De Tenerife;Tijarafe;_U;38780;-17.94414;28.67615
B-38-5-0000023;Del Puerto;Bar-Cafeteria;Puerto Espíndola,;La Palma;Santa Cruz De Tenerife;San Andres Y Sauces;_U;38720;-17.763722;28.807472
B-38-5-0000024;Manolo;Bar-Cafeteria;Puerto Naos,;La Palma;Santa Cruz De Tenerife;Los Llanos De Aridane;_U;38700;-17.909498;28.58695
B-38-5-0000026;Miami;Bar-Cafeteria;San Sebastián, 5;La Palma;Santa Cruz De Tenerife;San Andres Y Sauces;_U;38720;-17.760909;28.799362
B-38-5-0000029;Juventud Española;Bar-Cafeteria;El Rincón, 6;La Palma;Santa Cruz De Tenerife;Breña Baja;_U;38712;-17.766002;28.644329
B-38-5-0000031;El Rincón;Bar-Cafeteria;El Granel,;La Palma;Santa Cruz De Tenerife;Puntallana;_U;38715;-17.745071;28.741205
B-38-5-0000034;Danubio;Bar-Cafeteria;General Mola, 6;La Palma;Santa Cruz De Tenerife;San Andres Y Sauces;_U;38720;-17.773477;28.804216
B-38-5-0000036;Ideal;Bar-Cafeteria;Plaza De España,;La Palma;Santa Cruz De Tenerife;Los Llanos De Aridane;_U;38760;-17.913159;28.65871
B-38-5-0000038;La Cantina Del Gladiador;Bar-Cafeteria;Ctra. General Los Canarios, 98;La Palma;Santa Cruz De Tenerife;Fuencaliente De La Palma;_U;38740;-17.84541;28.494301
B-38-5-0000039;La Esquina;Bar-Cafeteria;Plaza De San Fernando, 13;La Palma;Santa Cruz De Tenerife;Santa Cruz De La Palma;_U;38700;-17.76038;28.689359
B-38-5-0000040;Parada;Bar-Cafeteria;Carretera General, 96;La Palma;Santa Cruz De Tenerife;Fuencaliente De La Palma;_U;38740;-17.845202;28.494134
B-38-5-0000042;Paris;Bar-Cafeteria;Camino El Rincon;La Palma;Santa Cruz De Tenerife;Breña Baja;_U;38710;-17.76635;28.64579
B-38-5-0000043;Central;Bar-Cafeteria;Villa De Mazo,;La Palma;Santa Cruz De Tenerife;Villa De Mazo;_U;38730;-17.780359;28.606522
B-38-5-0000045;La Unión;Bar-Cafeteria;El Pueblo,;La Palma;Santa Cruz De Tenerife;Puntallana;_U;38715;-17.74458;28.74022
B-38-5-0000046;El Cubo;Bar-Cafeteria;La Galga,;La Palma;Santa Cruz De Tenerife;Puntallana;_U;38715;-17.76417;28.76445
