municipio,nombre,tipo,url_maps
Arrecife,HOTEL LANCELOT,Hotel,https://www.google.com/maps/search/HOTEL%20LANCELOT%20Arrecife%20Lanzarote
Arrecife,HOTEL MIRAMAR,Hotel,https://www.google.com/maps/search/HOTEL%20MIRAMAR%20Arrecife%20Lanzarote
Haría,APARTAMENTOS CASTILLO DE PAPAGAYO,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20CASTILLO%20DE%20PAPAGAYO%20Har%C3%ADa%20Lanzarote
Haría,APARTAMENTOS LAS PITERAS,Apartamentos,https://www.google.com/maps/search/APARTAMENTOS%20LAS%20PITERAS%20Har%C3%ADa%20Lanzarote
San Bartolomé,HOTEL RURAL FINCA DE LA FLORIDA,Hotel Rural,https://www.google.com/maps/search/HOTEL%20RURAL%20FINCA%20DE%20LA%20FLORIDA%20San%20Bartolom%C3%A9%20Lanzarote
Teguise,HOTEL GRAND TEGUISE PLAYA,Hotel,https://www.google.com/maps/search/HOTEL%20GRAND%20TEGUISE%20PLAYA%20Teguise%20Lanzarote
Teguise,MELIA SALINAS - THE GARDEN VILLAS,Hotel,https://www.google.com/maps/search/MELIA%20SALINAS%20-%20THE%20GARDEN%20VILLAS%20Teguise%20Lanzarote
Tinajo,HOTEL APART. CLUB LA SANTA,Hotel,https://www.google.com/maps/search/HOTEL%20APART.%20CLUB%20LA%20SANTA%20Tinajo%20Lanzarote
Tías,HOTEL LOS FARIONES,Hotel,https://www.google.com/maps/search/HOTEL%20LOS%20FARIONES%20T%C3%ADas%20Lanzarote
Tías,PLUS FARIONES SUITE HOTEL,Hotel,https://www.google.com/maps/search/PLUS%20FARIONES%20SUITE%20HOTEL%20T%C3%ADas%20Lanzarote
Yaiza,HOTEL ELBA LANZAROTE ROYAL VILLAGE,Hotel,https://www.google.com/maps/search/HOTEL%20ELBA%20LANZAROTE%20ROYAL%20VILLAGE%20Yaiza%20Lanzarote
Yaiza,HOTEL MYND YAIZA,Hotel,https://www.google.com/maps/search/HOTEL%20MYND%20YAIZA%20Yaiza%20Lanzarote
