municipio,playa,url_maps
Haría,Playa de Órzola,https://www.google.com/maps/search/Playa%20Playa%20de%20%C3%93rzola%20Har%C3%ADa%20Lanzarote
Haría,Caletón Blanco,https://www.google.com/maps/search/Playa%20Calet%C3%B3n%20Blanco%20Har%C3%ADa%20Lanzarote
Haría,Punta Mujeres,https://www.google.com/maps/search/Playa%20Punta%20Mujeres%20Har%C3%ADa%20Lanzarote
Haría,Playa de la Garita,https://www.google.com/maps/search/Playa%20Playa%20de%20la%20Garita%20Har%C3%ADa%20Lanzarote
Haría,Playa de La Cantería,https://www.google.com/maps/search/Playa%20Playa%20de%20La%20Canter%C3%ADa%20Har%C3%ADa%20Lanzarote
Haría,Playa del Risco,https://www.google.com/maps/search/Playa%20Playa%20del%20Risco%20Har%C3%ADa%20Lanzarote
Teguise,Caleta de Famara,https://www.google.com/maps/search/Playa%20Caleta%20de%20Famara%20Teguise%20Lanzarote
Teguise,Playa de Los Charcos,https://www.google.com/maps/search/Playa%20Playa%20de%20Los%20Charcos%20Teguise%20Lanzarote
Teguise,Playa de Las Cucharas,https://www.google.com/maps/search/Playa%20Playa%20de%20Las%20Cucharas%20Teguise%20Lanzarote
Teguise,Playa del Jablillo,https://www.google.com/maps/search/Playa%20Playa%20del%20Jablillo%20Teguise%20Lanzarote
Teguise,Playas de Costa Teguise,https://www.google.com/maps/search/Playa%20Playas%20de%20Costa%20Teguise%20Teguise%20Lanzarote
Arrecife,Playa del Reducto,https://www.google.com/maps/search/Playa%20Playa%20del%20Reducto%20Arrecife%20Lanzarote
Arrecife,Playa del Cable,https://www.google.com/maps/search/Playa%20Playa%20del%20Cable%20Arrecife%20Lanzarote
Tías,Playa Grande,https://www.google.com/maps/search/Playa%20Playa%20Grande%20T%C3%ADas%20Lanzarote
Tías,Playa Chica,https://www.google.com/maps/search/Playa%20Playa%20Chica%20T%C3%ADas%20Lanzarote
Tías,Playa Pocillos,https://www.google.com/maps/search/Playa%20Playa%20Pocillos%20T%C3%ADas%20Lanzarote
Tías,Playa de Matagorda,https://www.google.com/maps/search/Playa%20Playa%20de%20Matagorda%20T%C3%ADas%20Lanzarote
Yaiza,Playa Blanca,https://www.google.com/maps/search/Playa%20Playa%20Blanca%20Yaiza%20Lanzarote
Yaiza,Playa Flamingo,https://www.google.com/maps/search/Playa%20Playa%20Flamingo%20Yaiza%20Lanzarote
Yaiza,Playa Dorada,https://www.google.com/maps/search/Playa%20Playa%20Dorada%20Yaiza%20Lanzarote
Yaiza,Playa Papagayo,https://www.google.com/maps/search/Playa%20Playa%20Papagayo%20Yaiza%20Lanzarote
Yaiza,Playa Mujeres,https://www.google.com/maps/search/Playa%20Playa%20Mujeres%20Yaiza%20Lanzarote
Yaiza,Playa del Pozo,https://www.google.com/maps/search/Playa%20Playa%20del%20Pozo%20Yaiza%20Lanzarote
Yaiza,Playa de las Coloradas,https://www.google.com/maps/search/Playa%20Playa%20de%20las%20Coloradas%20Yaiza%20Lanzarote
Yaiza,Playa Quemada,https://www.google.com/maps/search/Playa%20Playa%20Quemada%20Yaiza%20Lanzarote
Tinajo,La Santa,https://www.google.com/maps/search/Playa%20La%20Santa%20Tinajo%20Lanzarote
Tinajo,El Golfo,https://www.google.com/maps/search/Playa%20El%20Golfo%20Tinajo%20Lanzarote
