municipio,nombre,grupo,url_maps
Arrecife,Alta Vista,Bar-Cafeteria,https://www.google.com/maps/search/Alta%20Vista%20Arrecife%20Lanzarote
Arrecife,Janubio,Bar-Cafeteria,https://www.google.com/maps/search/Janubio%20Arrecife%20Lanzarote
Haria,"Pescaditos, Los",Bar-Cafeteria,https://www.google.com/maps/search/Pescaditos%2C%20Los%20Haria%20Lanzarote
Haria,"Plaza, La",Bar-Cafeteria,https://www.google.com/maps/search/Plaza%2C%20La%20Haria%20Lanzarote
San Bartolome,"Cazadores, Los",Bar-Cafeteria,https://www.google.com/maps/search/Cazadores%2C%20Los%20San%20Bartolome%20Lanzarote
San Bartolome,Leon,Bar-Cafeteria,https://www.google.com/maps/search/Leon%20San%20Bartolome%20Lanzarote
Teguise,Montaña Clara,Bar-Cafeteria,https://www.google.com/maps/search/Monta%C3%B1a%20Clara%20Teguise%20Lanzarote
Teguise,Rivera,Bar-Cafeteria,https://www.google.com/maps/search/Rivera%20Teguise%20Lanzarote
Tias,"Campesinos, Los",Bar-Cafeteria,https://www.google.com/maps/search/Campesinos%2C%20Los%20Tias%20Lanzarote
Tias,San Gines,Bar-Cafeteria,https://www.google.com/maps/search/San%20Gines%20Tias%20Lanzarote
Tinajo,Pepe,Bar-Cafeteria,https://www.google.com/maps/search/Pepe%20Tinajo%20Lanzarote
Tinajo,"Volcan, El",Bar-Cafeteria,https://www.google.com/maps/search/Volcan%2C%20El%20Tinajo%20Lanzarote
Yaiza,Bar Stop,Bar-Cafeteria,https://www.google.com/maps/search/Bar%20Stop%20Yaiza%20Lanzarote
Yaiza,"Marisco, El",Bar-Cafeteria,https://www.google.com/maps/search/Marisco%2C%20El%20Yaiza%20Lanzarote
