establecimiento_id;establecimiento_nombre_comercial;establecimiento_grupo;direccion;direccion_isla_nombre;direccion_provincia_nombre;direccion_municipio;direccion_localidad;direccion_codigo_postal;longitud;latitud
B-35-3-0000004;Janubio;Bar-Cafeteria;Leon Y Castillo, 2;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.548179;28.95862
B-35-3-0000006;Campesinos, Los;Bar-Cafeteria;Bajamar,;Lanzarote;Palmas (Las);Tias;_U;_U;-13.670048;28.919992
B-35-3-0000010;Bar Stop;Bar-Cafeteria;Plazas De Los Remedios, 6;Lanzarote;Palmas (Las);Yaiza;_U;_U;-13.76542;28.95255
B-35-3-0000011;Alta Vista;Bar-Cafeteria;Alta Vista, 40;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.546258;28.978227
B-35-3-0000013;Morro, El;Bar-Cafeteria;Joaquina, 1;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.551587;28.968553
B-35-3-0000014;Triana;Bar-Cafeteria;Triana, 1;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.552248;28.96183
B-35-3-0000015;Marino, El;Bar-Cafeteria;Perez Galdos, 77;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.545813;28.965727
B-35-3-0000016;Guanche;Bar-Cafeteria;Leon Y Castillo, 43;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.549503;28.961996
B-35-3-0000018;Puntilla;Bar-Cafeteria;Avda. Cesar Manrique, 52;Lanzarote;Palmas (Las);Arrecife;_U;35500;-13.54681;28.960213
B-35-3-0000020;Taberna Gopar;Bar-Cafeteria;Jose Betancort, 41;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.551789;28.959578
B-35-3-0000022;Afrikando;Bar-Cafeteria;Avda. Mancomunidad (Bajo), 2;Lanzarote;Palmas (Las);Arrecife;_U;35500;-13.553986;28.957907
B-35-3-0000024;Play Boy;Bar-Cafeteria;Alicante, 1;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.554939;28.959269
B-35-3-0000026;Tabares;Bar-Cafeteria;Ruperto Gonzalez Negrin, 10;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.548869;28.962327
B-35-3-0000029;Mujica;Bar-Cafeteria;18 De Julio, 11;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.553722;28.958936
B-35-3-0000032;Marisco, El;Bar-Cafeteria;Playa Blanca, 2;Lanzarote;Palmas (Las);Yaiza;_U;_U;-13.829769;28.863708
B-35-3-0000037;Cobacha, La;Bar-Cafeteria;Remedios, 6;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.55466;28.9586
B-35-3-0000038;Montaña Clara;Bar-Cafeteria;Hermanos Zerolo,;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.550421;28.961519
B-35-3-0000039;Osborne;Bar-Cafeteria;Cadiz, 31;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.546261;28.970893
B-35-3-0000040;Malagueña, La;Bar-Cafeteria;Leon Y Castillo, 184;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.546491;28.970784
B-35-3-0000042;Montaña Clara;Bar-Cafeteria;Tahiche,;Lanzarote;Palmas (Las);Teguise;_U;_U;-13.543751;29.015449
B-35-3-0000043;Taberna Gopar;Bar-Cafeteria;Portugal, 10;Lanzarote;Palmas (Las);Arrecife;_U;_U;-13.552619;28.962172
B-35-3-0000044;San Gines;Bar-Cafeteria;Ctra. Puerto Del Carmen, Pk.0,400,;Lanzarote;Palmas (Las);Tias;_U;_U;0.0;0.0
B-35-3-0000045;Rivera;Bar-Cafeteria;Soo,;Lanzarote;Palmas (Las);Teguise;_U;_U;-13.6228;29.09828
