municipio,isla,nivel_turistico_municipio,nivel_turistico_medio,n_clusters,clusters_ids,n_fotos_turistico,n_fotos_local
Adeje,Tenerife,2,2.45,33,"51, 65, 68, 93, 125, 138, 139, 141, 142, 143, 152, 153, 158, 159, 160, 161, 166, 175, 176, 193, 196, 197, 198, 200, 201, 206, 209, 210, 215, 216, 217, 218, 219",1044,1074
Agaete,Gran Canaria,3,2.82,11,"61, 62, 64, 70, 72, 84, 85, 86, 102, 103, 104",336,179
Agulo,La Gomera,3,3.14,7,"10, 13, 14, 16, 17, 21, 22",290,117
Agüimes,Gran Canaria,3,2.9,10,"0, 1, 2, 13, 15, 16, 18, 19, 23, 29",430,160
Alajeró,La Gomera,2,2.33,3,"0, 1, 7",143,167
Antigua,Fuerteventura,3,3.12,32,"9, 10, 14, 18, 24, 25, 47, 55, 56, 57, 58, 59, 71, 76, 77, 83, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 102, 103",755,343
Arafo,Tenerife,1,1.0,1,6,1,32
Arico,Tenerife,4,3.43,7,"10, 11, 12, 15, 16, 17, 18",316,46
Arona,Tenerife,3,3.14,43,"33, 34, 48, 55, 60, 61, 62, 63, 64, 70, 74, 77, 78, 85, 92, 94, 134, 137, 144, 150, 151, 154, 155, 162, 164, 168, 169, 177, 178, 179, 188, 189, 190, 191, 192, 201, 202, 203, 204, 205, 208, 211, 212",2158,824
Arrecife,Lanzarote,4,3.44,27,"78, 86, 87, 116, 117, 118, 132, 159, 162, 163, 164, 178, 191, 196, 200, 201, 220, 221, 222, 225, 251, 254, 261, 262, 265, 266, 267",1410,184
Artenara,Gran Canaria,3,3.0,2,"3, 81",72,8
Arucas,Gran Canaria,4,3.71,7,"39, 56, 63, 83, 90, 92, 93",318,25
Barlovento,La Palma,4,3.5,2,"4, 5",73,1
Betancuria,Fuerteventura,3,2.67,9,"26, 39, 40, 49, 60, 63, 64, 100, 101",220,140
Breña Alta,La Palma,4,4.0,4,"0, 47, 65, 66",265,2
Breña Baja,La Palma,4,3.89,9,"40, 47, 73, 74, 78, 80, 81, 82, 83",400,35
Buenavista del Norte,Tenerife,2,2.33,15,"36, 43, 45, 46, 50, 54, 71, 87, 95, 101, 102, 103, 116, 120, 121",466,450
Candelaria,Tenerife,3,3.0,1,4,124,23
El Paso,La Palma,4,3.68,19,"11, 18, 20, 24, 25, 26, 28, 49, 51, 54, 55, 60, 62, 67, 68, 69, 70, 88, 89",1219,240
El Rosario,Tenerife,4,3.5,2,"1, 2",85,4
El Sauzal,Tenerife,4,3.67,3,"20, 21, 22",171,35
Tanque,Tenerife,3,2.5,2,"24, 59",75,66
Fasnia,Tenerife,4,3.5,2,"0, 27",95,37
Firgas,Gran Canaria,2,2.0,3,"96, 100, 101",207,96
Frontera,El Hierro,4,4.0,18,"1, 2, 3, 7, 8, 9, 10, 11, 12, 14, 15, 18, 19, 20, 21, 22, 23, 24",1076,11
Fuencaliente de La Palma,La Palma,4,3.43,7,"22, 23, 29, 32, 37, 38, 39",344,66
Garachico,Tenerife,3,3.0,3,"13, 14, 24",316,172
Garafía,La Palma,3,3.15,13,"2, 6, 7, 16, 19, 25, 26, 27, 28, 31, 33, 34, 44",780,133
Granadilla de Abona,Tenerife,4,3.33,15,"8, 32, 33, 47, 69, 72, 81, 82, 91, 104, 105, 106, 119, 128, 129",694,223
Guía de Isora,Tenerife,3,2.88,8,"23, 26, 49, 52, 53, 73, 79, 107",299,148
Gáldar,Gran Canaria,3,2.67,9,"5, 8, 9, 10, 11, 24, 25, 64, 82",206,209
Güímar,Tenerife,2,2.25,4,"3, 5, 7, 27",123,99
Haría,Lanzarote,2,2.15,27,"5, 7, 8, 12, 13, 14, 25, 27, 30, 37, 38, 49, 52, 53, 74, 79, 80, 82, 102, 130, 131, 148, 149, 153, 160, 170, 171",889,950
Hermigua,La Gomera,3,3.0,9,"5, 8, 12, 16, 17, 20, 23, 24, 25",463,61
Icod de los Vinos,Tenerife,3,2.67,3,"35, 39, 40",97,32
Ingenio,Gran Canaria,2,2.36,14,"16, 17, 23, 26, 29, 30, 33, 43, 45, 46, 49, 50, 51, 52",338,589
La Oliva,Fuerteventura,4,3.4,5,"17, 22, 23, 27, 28",160,14
La Orotava,Tenerife,2,2.45,31,"25, 27, 29, 30, 31, 37, 38, 73, 88, 96, 100, 110, 111, 112, 113, 114, 115, 119, 122, 123, 126, 127, 130, 132, 133, 135, 136, 140, 146, 147, 148",1223,816
Las Palmas de Gran Canaria,Gran Canaria,3,2.73,88,"32, 34, 35, 36, 40, 47, 48, 53, 54, 55, 57, 58, 79, 98, 99, 105, 106, 108, 109, 110, 111, 112, 114, 116, 119, 120, 121, 122, 123, 124, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183",3497,1204
Los Llanos de Aridane,La Palma,4,3.75,16,"1, 30, 45, 46, 71, 87, 91, 92, 95, 96, 97, 98, 99, 100, 101, 102",1004,66
Los Realejos,Tenerife,3,2.5,2,"41, 44",83,16
Los Silos,Tenerife,4,3.5,2,"13, 59",99,12
Moya,Gran Canaria,3,2.5,6,"67, 80, 82, 94, 95, 100",204,84
Puerto de la Cruz,Tenerife,2,1.76,29,"42, 99, 124, 145, 149, 156, 157, 163, 165, 167, 170, 171, 172, 173, 174, 180, 181, 182, 183, 184, 185, 186, 187, 194, 195, 199, 207, 213, 214",842,1126
Puerto del Rosario,Fuerteventura,3,3.06,17,"3, 11, 13, 16, 17, 20, 41, 43, 61, 62, 65, 69, 70, 78, 82, 84, 85",396,148
Puntagorda,La Palma,4,3.5,4,"13, 41, 42, 43",197,50
Puntallana,La Palma,3,2.75,4,"8, 9, 10, 11",93,45
