municipio,nombre,tipo,url_maps
ADEJE,PUEBLO TORVISCAS,Apartamento,https://www.google.com/maps/search/PUEBLO%20TORVISCAS%20ADEJE%20Tenerife
ADEJE,ROYAL GARDEN RIVER,Hotel,https://www.google.com/maps/search/ROYAL%20GARDEN%20RIVER%20ADEJE%20Tenerife
ARAFO,CASA DEL CURA VIEJO,Casa Rural,https://www.google.com/maps/search/CASA%20DEL%20CURA%20VIEJO%20ARAFO%20Tenerife
ARAFO,LO DE CARTA,Casa Rural,https://www.google.com/maps/search/LO%20DE%20CARTA%20ARAFO%20Tenerife
ARICO,"VIÑITA, LA",Casa Emblematica,https://www.google.com/maps/search/VI%C3%91ITA%2C%20LA%20ARICO%20Tenerife
ARICO,VIÑA VIEJA,Hotel,https://www.google.com/maps/search/VI%C3%91A%20VIEJA%20ARICO%20Tenerife
ARONA,DON JOSE,Apartamento,https://www.google.com/maps/search/DON%20JOSE%20ARONA%20Tenerife
ARONA,MARYLANZA SUITES & SPA,Hotel,https://www.google.com/maps/search/MARYLANZA%20SUITES%20%26%20SPA%20ARONA%20Tenerife
BUENAVISTA DEL NORTE,CASA QUEMADA,Casa Rural,https://www.google.com/maps/search/CASA%20QUEMADA%20BUENAVISTA%20DEL%20NORTE%20Tenerife
BUENAVISTA DEL NORTE,MELIA HACIENDA DEL CONDE,Hotel,https://www.google.com/maps/search/MELIA%20HACIENDA%20DEL%20CONDE%20BUENAVISTA%20DEL%20NORTE%20Tenerife
CANDELARIA,CASA MARIA,Apartamento,https://www.google.com/maps/search/CASA%20MARIA%20CANDELARIA%20Tenerife
CANDELARIA,CATALONIA PUNTA DEL REY,Hotel,https://www.google.com/maps/search/CATALONIA%20PUNTA%20DEL%20REY%20CANDELARIA%20Tenerife
EL ROSARIO,CAÑADAS,Hotel,https://www.google.com/maps/search/CA%C3%91ADAS%20EL%20ROSARIO%20Tenerife
EL ROSARIO,OHANA,Hotel,https://www.google.com/maps/search/OHANA%20EL%20ROSARIO%20Tenerife
EL SAUZAL,"RIQUELAS, LAS",Casa Rural,https://www.google.com/maps/search/RIQUELAS%2C%20LAS%20EL%20SAUZAL%20Tenerife
EL SAUZAL,HACIENDA SAN JOSE,Hotel,https://www.google.com/maps/search/HACIENDA%20SAN%20JOSE%20EL%20SAUZAL%20Tenerife
FASNIA,CALIBORNA,Casa Emblematica,https://www.google.com/maps/search/CALIBORNA%20FASNIA%20Tenerife
FASNIA,"SOMBRERA, LA",Casa Rural,https://www.google.com/maps/search/SOMBRERA%2C%20LA%20FASNIA%20Tenerife
GARACHICO,SAN ROQUE,Hotel,https://www.google.com/maps/search/SAN%20ROQUE%20GARACHICO%20Tenerife
GARACHICO,GARA,Hotel,https://www.google.com/maps/search/GARA%20GARACHICO%20Tenerife
GRANADILLA DE ABONA,MIRAMAR-MARRERO,Apartamento,https://www.google.com/maps/search/MIRAMAR-MARRERO%20GRANADILLA%20DE%20ABONA%20Tenerife
GRANADILLA DE ABONA,PLAYA SUR TENERIFE ,Hotel,https://www.google.com/maps/search/PLAYA%20SUR%20TENERIFE%20%20GRANADILLA%20DE%20ABONA%20Tenerife
GUIA DE ISORA,THE TERRACES OF ABAMA,Apartamento,https://www.google.com/maps/search/THE%20TERRACES%20OF%20ABAMA%20GUIA%20DE%20ISORA%20Tenerife
GUIA DE ISORA,SHOLEO LODGES LOS GIGANTES,Hotel,https://www.google.com/maps/search/SHOLEO%20LODGES%20LOS%20GIGANTES%20GUIA%20DE%20ISORA%20Tenerife
GÜIMAR,BUEN RETIRO,Hotel,https://www.google.com/maps/search/BUEN%20RETIRO%20G%C3%9CIMAR%20Tenerife
GÜIMAR,FINCA SALAMANCA,Hotel,https://www.google.com/maps/search/FINCA%20SALAMANCA%20G%C3%9CIMAR%20Tenerife
ICOD DE LOS VINOS,SAN AGUSTIN,Hotel,https://www.google.com/maps/search/SAN%20AGUSTIN%20ICOD%20DE%20LOS%20VINOS%20Tenerife
ICOD DE LOS VINOS,SAN MARCOS,Hotel,https://www.google.com/maps/search/SAN%20MARCOS%20ICOD%20DE%20LOS%20VINOS%20Tenerife
LA GUANCHA,CASA PACHELE,Casa Rural,https://www.google.com/maps/search/CASA%20PACHELE%20LA%20GUANCHA%20Tenerife
LA LAGUNA,BELLAMAR,Apartamento,https://www.google.com/maps/search/BELLAMAR%20LA%20LAGUNA%20Tenerife
LA LAGUNA,NEPTUNO,Hotel,https://www.google.com/maps/search/NEPTUNO%20LA%20LAGUNA%20Tenerife
