municipio,nombre,grupo,url_maps
ADEJE,CHEZ MIMI,Restaurante,https://www.google.com/maps/search/CHEZ%20MIMI%20ADEJE%20Tenerife
ADEJE,LA GRANJA,Restaurante,https://www.google.com/maps/search/LA%20GRANJA%20ADEJE%20Tenerife
ARAFO,FINCA AGRICOLA KM2KCERO,Guachinche,https://www.google.com/maps/search/FINCA%20AGRICOLA%20KM2KCERO%20ARAFO%20Tenerife
ARAFO,"ROTONDA, LA",Restaurante,https://www.google.com/maps/search/ROTONDA%2C%20LA%20ARAFO%20Tenerife
ARICO,ANDROMEDA II,Restaurante,https://www.google.com/maps/search/ANDROMEDA%20II%20ARICO%20Tenerife
ARICO,PIZZERIA AMICI,Restaurante,https://www.google.com/maps/search/PIZZERIA%20AMICI%20ARICO%20Tenerife
ARONA,AGUA DE COCO,Restaurante,https://www.google.com/maps/search/AGUA%20DE%20COCO%20ARONA%20Tenerife
ARONA,BARBACOA,Restaurante,https://www.google.com/maps/search/BARBACOA%20ARONA%20Tenerife
BUENAVISTA DEL NORTE,"MARINO, EL",Restaurante,https://www.google.com/maps/search/MARINO%2C%20EL%20BUENAVISTA%20DEL%20NORTE%20Tenerife
BUENAVISTA DEL NORTE,TASCA EL BARACAN,Restaurante,https://www.google.com/maps/search/TASCA%20EL%20BARACAN%20BUENAVISTA%20DEL%20NORTE%20Tenerife
CANDELARIA ,CASA MANUEL,Guachinche,https://www.google.com/maps/search/CASA%20MANUEL%20CANDELARIA%20%20Tenerife
CANDELARIA ,DON QUIJOTE DE LA MANCHA,Restaurante,https://www.google.com/maps/search/DON%20QUIJOTE%20DE%20LA%20MANCHA%20CANDELARIA%20%20Tenerife
EL ROSARIO,EL MOSQUITO,Guachinche,https://www.google.com/maps/search/EL%20MOSQUITO%20EL%20ROSARIO%20Tenerife
EL ROSARIO,CASA ELOY,Restaurante,https://www.google.com/maps/search/CASA%20ELOY%20EL%20ROSARIO%20Tenerife
EL SAUZAL,BODEGA ZENON,Guachinche,https://www.google.com/maps/search/BODEGA%20ZENON%20EL%20SAUZAL%20Tenerife
EL SAUZAL,CASA ROMAN,Restaurante,https://www.google.com/maps/search/CASA%20ROMAN%20EL%20SAUZAL%20Tenerife
FASNIA,LAS PALMERAS DE FASNIA,Restaurante,https://www.google.com/maps/search/LAS%20PALMERAS%20DE%20FASNIA%20FASNIA%20Tenerife
FASNIA,MUNDO,Restaurante,https://www.google.com/maps/search/MUNDO%20FASNIA%20Tenerife
GARACHICO,CASA GASPAR,Restaurante,https://www.google.com/maps/search/CASA%20GASPAR%20GARACHICO%20Tenerife
GARACHICO,LA PERLA,Restaurante,https://www.google.com/maps/search/LA%20PERLA%20GARACHICO%20Tenerife
GRANADILLA DE ABONA,EL PINALETE,Guachinche,https://www.google.com/maps/search/EL%20PINALETE%20GRANADILLA%20DE%20ABONA%20Tenerife
GRANADILLA DE ABONA,RONG-CHENG (PINO),Restaurante,https://www.google.com/maps/search/RONG-CHENG%20%28PINO%29%20GRANADILLA%20DE%20ABONA%20Tenerife
GUIA DE ISORA,LETI,Guachinche,https://www.google.com/maps/search/LETI%20GUIA%20DE%20ISORA%20Tenerife
GUIA DE ISORA,"COCHINO, EL",Restaurante,https://www.google.com/maps/search/COCHINO%2C%20EL%20GUIA%20DE%20ISORA%20Tenerife
GÜIMAR,FINCA EL SALON,Guachinche,https://www.google.com/maps/search/FINCA%20EL%20SALON%20G%C3%9CIMAR%20Tenerife
GÜIMAR,DIXTINTO,Restaurante,https://www.google.com/maps/search/DIXTINTO%20G%C3%9CIMAR%20Tenerife
ICOD DE LOS VINOS, RESTAURANTE-TASCA YOIRE,Restaurante,https://www.google.com/maps/search/%20RESTAURANTE-TASCA%20YOIRE%20ICOD%20DE%20LOS%20VINOS%20Tenerife
ICOD DE LOS VINOS,CASA LUCAS,Restaurante,https://www.google.com/maps/search/CASA%20LUCAS%20ICOD%20DE%20LOS%20VINOS%20Tenerife
LA GUANCHA,CASA TEO,Restaurante,https://www.google.com/maps/search/CASA%20TEO%20LA%20GUANCHA%20Tenerife
LA GUANCHA,FUENTE LA GUANCHA,Restaurante,https://www.google.com/maps/search/FUENTE%20LA%20GUANCHA%20LA%20GUANCHA%20Tenerife
LA LAGUNA,EL BORGOÑON DE SANDRA,Guachinche,https://www.google.com/maps/search/EL%20BORGO%C3%91ON%20DE%20SANDRA%20LA%20LAGUNA%20Tenerife
LA LAGUNA,EL HUERTO,Restaurante,https://www.google.com/maps/search/EL%20HUERTO%20LA%20LAGUNA%20Tenerife
LA MATANZA DE ACENTEJO,ASADOR VICTORIA,Restaurante,https://www.google.com/maps/search/ASADOR%20VICTORIA%20LA%20MATANZA%20DE%20ACENTEJO%20Tenerife
LA MATANZA DE ACENTEJO,CASA ANTONIO,Restaurante,https://www.google.com/maps/search/CASA%20ANTONIO%20LA%20MATANZA%20DE%20ACENTEJO%20Tenerife
LA OROTAVA,EL MOLINERO,Guachinche,https://www.google.com/maps/search/EL%20MOLINERO%20LA%20OROTAVA%20Tenerife
LA OROTAVA,TASCA OROTAVA,Restaurante,https://www.google.com/maps/search/TASCA%20OROTAVA%20LA%20OROTAVA%20Tenerife
