municipio,modalidad,tipo,nombre,direccion,codigo_postal,categoria,unidades_alojativas,plazas_alojativas
ADEJE,EXTRAHOTELERA,APARTAMENTO,PUEBLO TORVISCAS,"C/. VALENCIA (URB. TORVISCAS), 3",38660,3 LLAVES,40,87
ADEJE,EXTRAHOTELERA,APARTAMENTO,PUERTO COLON,PUERTO COLON. SAN EUGENIO,38660,3 LLAVES,20,68
ADEJE,EXTRAHOTELERA,APARTAMENTO,PARADISE COURT,"C/. IRLANDA (URB. SAN EUGENIO), 5",38670,2 LLAVES,21,67
ADEJE,EXTRAHOTELERA,APARTAMENTO,ROYAL SUNSET BEACH CLUB,"C/. LONDRES (PLAYA DE FAÑABE), 6",38660,3 ESTRELLAS,126,294
ADEJE,EXTRAHOTELERA,APARTAMENTO,PARADERO I,"C/. BOLIVIA, S/N.",38660,2 LLAVES,46,99
ADEJE,EXTRAHOTELERA,APARTAMENTO,LABRANDA BAHIA FAÑABE,"AVDA. BRUSELAS (FAÑABE), 7",38660,3 LLAVES,80,320
ADEJE,EXTRAHOTELERA,APARTAMENTO,CIUDAD JARDIN-OLYMPUS,"AVDA. DE LOS PUEBLOS (CIUDAD JARDIN) SAN EUGENIO, 16",38670,1 LLAVE,175,570
ADEJE,EXTRAHOTELERA,APARTAMENTO,TINERFE GARDEN-TIGARSUR,"AVDA. DE LOS PUEBLOS (URB. SAN EUGENIO), 24",38660,2 LLAVES,45,127
ADEJE,EXTRAHOTELERA,APARTAMENTO,PARAISO DEL SOL,"AVDA. V CENTENARIO, 7",38670,2 LLAVES,94,192
ADEJE,EXTRAHOTELERA,APARTAMENTO,RAMADA RESIDENCES BY WYNDHAM COSTA ADEJE,"C/. GALICIA (TORVISCAS ALTO), 6",38660,2 LLAVES,181,631
ADEJE,EXTRAHOTELERA,APARTAMENTO,CALLAO GARDEN,"C/. EL JABLE, 39",38670,3 ESTRELLAS,219,486
ADEJE,EXTRAHOTELERA,APARTAMENTO,REGENCY CLUB,"C/. CATALUÑA (TORVISCAS ALTO), 2",38660,3 LLAVES,90,270
ADEJE,EXTRAHOTELERA,APARTAMENTO,SUN BEACH,"C/. LONDRES (PLAYA DE FAÑABE), 3",38670,3 ESTRELLAS,133,292
ADEJE,EXTRAHOTELERA,APARTAMENTO,BAOBAB DOMAINS,"C/. ROQUES DEL SALMOR, 5",38679,5 ESTRELLAS,125,330
ADEJE,EXTRAHOTELERA,APARTAMENTO,ALBATROS APARTMENTS BY MALIBU,"AVDA. EL JABLE, 42",38678,1 LLAVE,28,68
ADEJE,EXTRAHOTELERA,APARTAMENTO,MARAZUL DEL SUR,"C/. BOCA CANGREJO, S/N. (EDIF. MAR AZUL)",38678,2 LLAVES,168,657
ADEJE,EXTRAHOTELERA,APARTAMENTO,CALLAOMAR,"TENIQUE, 4",38000,1 LLAVE,15,30
ADEJE,EXTRAHOTELERA,APARTAMENTO,LAGUNA PARK I,"AVDA. DE LOS PUEBLOS (SAN EUGENIO), 26",38660,3 ESTRELLAS,147,296
ADEJE,EXTRAHOTELERA,APARTAMENTO,SUEÑO AZUL,"URB. SUEÑO AZUL, 6A",38670,2 LLAVES,31,186
ADEJE,EXTRAHOTELERA,APARTAMENTO,PARQUE ROYALE,"AVDA. ERNESTO SARTIE, 10",38660,3 LLAVES,56,159
ADEJE,EXTRAHOTELERA,APARTAMENTO,OLYMPIA,"C/. VENEZUELA, 12",38660,2 LLAVES,75,166
ADEJE,EXTRAHOTELERA,APARTAMENTO,LAGUNA PARK 2-COSTA LAGUNA,"C/. PAIS VASCO, 1",38670,2 LLAVES,0,0
ADEJE,EXTRAHOTELERA,APARTAMENTO,YUCCA PARK,"C/. LONDRES, 8 (URB. FAÑABE)",38670,3 LLAVES,98,312
ADEJE,EXTRAHOTELERA,APARTAMENTO,ORO VERDE,"AVDA. ERNESTO SARTI, S/N (PARCELA B-6)",38000,1 LLAVE,93,317
ADEJE,EXTRAHOTELERA,APARTAMENTO,"OLIVOS, LOS","C/. PARIS (PLAYA FAÑABE), 1",38670,3 LLAVES,187,511
ADEJE,EXTRAHOTELERA,APARTAMENTO,LABRANDA VILLAS FAÑABE,"AVDA. BRUSELAS (FAÑABE), 5",38670,3 LLAVES,106,346
ADEJE,EXTRAHOTELERA,APARTAMENTO,CORAL DREAMS,"AVDA. V CENTENARIO, 7",38660,3 ESTRELLAS,49,98
ADEJE,EXTRAHOTELERA,APARTAMENTO,PARQUE DEL SOL,"C/. LONDRES (URB. PLAYA FAÑABE), 11",38639,3 ESTRELLAS,184,422
ADEJE,EXTRAHOTELERA,APARTAMENTO,OCEAN PARK,"AVDA. DE LOS PUEBLOS, S/N. (URB. SAN EUGENIO)",38660,2 LLAVES,105,310
ADEJE,EXTRAHOTELERA,APARTAMENTO,NEPTUNO COSTA ADEJE,"C/. CATALUÑA (TORVISCAS ALTO), 3",38678,3 LLAVES,106,308
ADEJE,EXTRAHOTELERA,APARTAMENTO,PERLA GRIS,"C/. LA LAVA (CALLAO SALVAJE), 4",38000,2 LLAVES,108,341
ADEJE,EXTRAHOTELERA,APARTAMENTO,HACIENDAS,"AVDA. EUROPA, 31 (SAN EUGENIO ALTO)",38660,3 ESTRELLAS,40,172
ADEJE,EXTRAHOTELERA,APARTAMENTO,BORINQUEN,"AVDA. VENEZUELA, 14",38660,2 LLAVES,62,128
ADEJE,EXTRAHOTELERA,APARTAMENTO,PANORAMICA,"C/. BALEARES, 17",38660,3 ESTRELLAS,90,180
ADEJE,EXTRAHOTELERA,APARTAMENTO,PARQUE DE LAS AMERICAS,"AVDA. RAFAEL PUIG, 16",38660,2 LLAVES,53,171
ADEJE,EXTRAHOTELERA,APARTAMENTO,SUNSET HARBOUR CLUB,"C/. VALENCIA (TORVISCAS), 3",38660,3 LLAVES,172,438
ADEJE,EXTRAHOTELERA,APARTAMENTO,SUNSET BAY CLUB,"C/. ANTONIO NAVARRO (URB. TORVISCAS), 1",38670,2 LLAVES,206,534
ADEJE,EXTRAHOTELERA,APARTAMENTO,MARINA PRIMAVERA FASE II-READER,"SAN EUGENIO, 2 URB.",38000,2 LLAVES,2,4
