municipio,modalidad,tipo,nombre,direccion,codigo_postal,aforo_interior,aforo_terraza
ADEJE,RESTAURACION,BAR,ANGELA,"CONSTITUCION AVDA. (EDIF. ALEGRANZA, L-5 BAJO)",38670,0,0
ADEJE,RESTAURACION,BAR,PUNTO ZERO,"ARENAS DE TROYA, L-28 C.C.",38632,0,0
ADEJE,RESTAURACION,BAR,POLAR,"C/ LUJAN PEREZ, 29",38670,40,0
ADEJE,RESTAURACION,BAR,AREPERA GOCHAREPA,"C/ GRANDE, 33",38670,30,20
ADEJE,RESTAURACION,BAR,"BAR DE KORMACKS, EL","CIUDAD JARDIN, L-12A ",38670,45,0
ADEJE,RESTAURACION,BAR,CARIBE BAR,"ERNESTO SARTI, S/N. AVDA. (C.C. ESMERALDA, L-11/12)",38660,0,0
ADEJE,RESTAURACION,BAR,"ARAÑA AZUL, LA (THE BLUE SPIDER)","PUEBLO CANARIO, 400 C.C.  (JUNTO A LA IGLESIA)",38660,0,0
ADEJE,RESTAURACION,BAR,THE PHEASANT PLUCHER (DESPLUMAR A UN FAISAN),"AVDA DE LOS PUEBLOS, 20, C.C. CIUDAD JARDIN, L-3 ",38660,0,0
ADEJE,RESTAURACION,BAR,FUENTES,TIJOCO DE ABAJO ,38000,0,0
ADEJE,RESTAURACION,BAR,GEMINIS,"BORA BORA, L-2/4 C.C. ",38650,25,12
ADEJE,RESTAURACION,BAR,CAFE POL,"C. C. PLAYA SHOP, LAS AMERICAS ",38000,0,0
ADEJE,RESTAURACION,BAR,PIRATA TROPICAL,"C.C. SANTA MARIA, L-55 ",38660,30,0
ADEJE,RESTAURACION,BAR,T.M.,"BCO. LAS TORRES PARCELA S3, PARCELA 5 PLAN PARCIAL SECTOR 10",38670,24,24
ADEJE,RESTAURACION,BAR,DELEK,"AVDA.PLAYA PARAISO, S/N - C.C. GRAN AZUL, L-5/6",38660,28,16
ADEJE,RESTAURACION,BAR,TAM-TAM,"C/ CUBA, 3 - C.C. COPACABANA, L-2/3",38660,8,21
