isla_fix,cluster_dbscan,n_fotos,lat,lon,fecha_min,fecha_max,Local,Turista,Desconocido,p_turista,p_local,n_fotos_turistico,n_fotos_local,nivel_turistico,nivel_local,indice_turista,r90_m
El Hierro,2,176,27.786741,-18.008124000000002,2021-02-26 09:43:08,2026-02-22 15:39:01,0.03977272727272727,0.9147727272727273,0.045454545454545456,0.9147727272727273,0.03977272727272727,161,7,4,1,0.875,890.9296861661257
El Hierro,0,98,27.639701000000002,-17.982625499999997,2021-01-05 21:45:31,2024-03-11 19:57:14,0.0,1.0,0.0,1.0,0.0,98,0,4,1,1.0,641.4817474186699
El Hierro,3,72,27.7968565,-17.991512,2021-02-26 10:18:11,2026-02-22 16:43:26,0.013888888888888888,0.9861111111111112,0.0,0.9861111111111112,0.013888888888888888,71,1,4,1,0.9722222222222223,229.33410938162856
El Hierro,13,61,27.824319,-17.895192,2021-06-08 08:53:21,2024-08-04 15:36:00,0.0,1.0,0.0,1.0,0.0,61,0,4,1,1.0,128.36867207186737
El Hierro,1,59,27.761705,-18.039745,2021-01-11 10:05:37,2026-02-22 17:17:48,0.0,0.9491525423728814,0.05084745762711865,0.9491525423728814,0.0,56,0,4,1,0.9491525423728814,89.22137765999713
El Hierro,23,51,27.749594,-18.016667,2021-11-01 17:37:29,2024-08-05 19:00:21,0.0,1.0,0.0,1.0,0.0,51,0,4,1,1.0,48.43151930250041
El Hierro,4,48,27.807067500000002,-17.980892,2021-02-26 11:10:33,2026-02-19 17:48:16,0.0,0.9791666666666666,0.020833333333333332,0.9791666666666666,0.0,47,0,4,1,0.9791666666666666,54.22889758090543
El Hierro,8,47,27.749016,-18.127123,2021-03-28 17:18:24,2026-02-20 16:57:09,0.0,0.9148936170212766,0.0851063829787234,0.9148936170212766,0.0,43,0,4,1,0.9148936170212766,216.9057268440115
El Hierro,26,46,27.762847999999998,-17.980967,2022-02-18 15:36:04,2026-02-21 19:09:23,0.0,1.0,0.0,1.0,0.0,46,0,4,1,1.0,39.045057184995784
El Hierro,9,44,27.7372315,-17.996931,2021-03-29 14:07:21,2025-02-06 12:03:09,0.0,1.0,0.0,1.0,0.0,44,0,4,1,1.0,279.16161679219704
