isla_fix,cluster_kmeans,Desconocido,Local,Turista
El Hierro,0,0.06666666666666667,0.0,0.9333333333333333
El Hierro,1,0.042105263157894736,0.015789473684210527,0.9421052631578948
El Hierro,2,0.0423728813559322,0.08192090395480225,0.8757062146892656
El Hierro,3,0.03044496487119438,0.01053864168618267,0.9590163934426229
Fuerteventura,0,0.1029082774049217,0.639821029082774,0.25727069351230425
Fuerteventura,1,0.17584745762711865,0.24858757062146894,0.5755649717514124
Fuerteventura,2,0.015625,0.234375,0.75
Fuerteventura,3,0.07474226804123711,0.16752577319587628,0.7577319587628866
Fuerteventura,4,0.03723404255319149,0.8457446808510638,0.11702127659574468
Fuerteventura,5,0.07547169811320754,0.11320754716981132,0.8113207547169812
Fuerteventura,6,0.19384615384615383,0.3446153846153846,0.46153846153846156
Fuerteventura,7,0.10764872521246459,0.7223796033994334,0.16997167138810199
Fuerteventura,8,0.1297071129707113,0.3598326359832636,0.5104602510460251
Fuerteventura,9,0.10404624277456648,0.37572254335260113,0.5202312138728323
Fuerteventura,10,0.19798657718120805,0.18120805369127516,0.6208053691275168
Fuerteventura,11,0.27692307692307694,0.3576923076923077,0.36538461538461536
Fuerteventura,12,0.061855670103092786,0.05154639175257732,0.8865979381443299
Fuerteventura,13,0.0,0.06382978723404255,0.9361702127659575
Fuerteventura,14,0.03758169934640523,0.8986928104575164,0.06372549019607843
Fuerteventura,15,0.04417670682730924,0.36947791164658633,0.5863453815261044
Fuerteventura,16,0.3188405797101449,0.0,0.6811594202898551
Fuerteventura,17,0.025210084033613446,0.2184873949579832,0.7563025210084033
Fuerteventura,18,0.0,0.0,1.0
Fuerteventura,19,0.05314009661835749,0.748792270531401,0.19806763285024154
Fuerteventura,20,0.23529411764705882,0.5705882352941176,0.19411764705882353
Fuerteventura,21,0.08275862068965517,0.33793103448275863,0.5793103448275863
Fuerteventura,22,0.14285714285714285,0.0,0.8571428571428571
Fuerteventura,23,0.17218543046357615,0.1390728476821192,0.6887417218543046
Fuerteventura,24,0.4807692307692308,0.019230769230769232,0.5
Gran Canaria,0,0.06649168853893263,0.29396325459317585,0.6395450568678915
Gran Canaria,1,0.0640495867768595,0.24793388429752067,0.6880165289256198
Gran Canaria,2,0.3835394283397527,0.13541455503750252,0.48104601662274477
Gran Canaria,3,0.08958837772397095,0.11864406779661017,0.7917675544794189
Gran Canaria,4,0.12363067292644757,0.4757433489827856,0.40062597809076683
Gran Canaria,5,0.14627285513361463,0.14767932489451477,0.7060478199718706
Gran Canaria,6,0.22371967654986524,0.14016172506738545,0.6361185983827493
Gran Canaria,7,0.08359293873312565,0.21521287642782969,0.7011941848390446
Gran Canaria,8,0.2219679633867277,0.20938215102974828,0.568649885583524
Gran Canaria,9,0.0698856416772554,0.6416772554002541,0.2884371029224905
Gran Canaria,10,0.06754966887417219,0.28344370860927154,0.6490066225165563
